ID,example,timehorizon,timestep,numlocs,numdrivers,numtrucks,numarcs,lambdaobj,timedelta,totalcompletedorders,neworders,numorders,iteration,cumuloptval,totalpastcost,optval,optval_delay,optval_dist,infeasible_order_count,incomplete_order_count,ordertrips,emptytrips,taxitrips,ordermiles,emptymiles,taximiles,delay_per_order,max_order_delay,nightsathome,nightsaway,orders_ip_time,drivers_ip_time,order_arc_count
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,90,214,15,305,drivers,896497.1910403867,300300.83933221287,596196.3517081738,415.14954278955446,388621.5803133966,0.0,125.0,1245,302.99999840481166,3.0,201115.5114329287,66266.52734557723,734.8376457924836,0.3007847000739631,2.4285714285714284,11133.0,454.0,38.98744606971741,239.52840185165405,32800
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,96,218,31,332,drivers,947925.7607375514,305421.76475138526,642503.9959861662,460.8871058838974,412060.44304421806,0.0,132.0,1316,316.9999984048092,3.0,203625.0123207029,68253.88388066186,734.8376457924836,0.3009911092130988,2.4285714285714284,9579.0,369.0,45.18135404586792,2933.1342339515686,35781
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,102,264,39,325,drivers,1.034768752665428e6,355597.2499433383,679171.5027220896,496.1071398359306,431117.93280412507,0.0,150.0,1490,363.999999070568,3.0,235871.5897632111,79893.8342701578,734.8376457924836,0.2961893050316423,2.4285714285714284,11160.0,465.0,37.66873502731323,387.9412479400635,35070
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,108,268,36,357,drivers,1.0841343951277097e6,361393.58251323027,722740.8126144795,529.9831371167701,457749.24405609496,0.0,148.0,1563,385.999999070568,3.0,238188.73950426353,82904.48007774139,734.8376457924836,0.295265114070395,2.4285714285714284,9526.0,422.0,28.842944860458374,344.470801115036,38997
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,114,294,10,341,drivers,1.1235767875543132e6,407059.55758727447,716517.2299670387,541.715187951645,445659.63599121687,0.0,148.0,1729,437.9999990705702,3.0,266477.07595846703,95773.44709258911,734.8376457924836,0.29982446864235296,2.4285714285714284,11068.0,519.0,34.10338497161865,3602.729789018631,37284
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,120,296,42,381,drivers,1.190910586782847e6,411045.3949661926,779865.1918166544,596.127693118131,481801.3452575896,0.0,156.0,1788,445.9999990705702,3.0,269463.65348122537,96772.70694874889,734.8376457924836,0.29779862763801274,2.4285714285714284,9528.0,420.0,63.54533791542053,831.4165120124817,41190
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,126,333,40,384,drivers,1.2705706582223885e6,479079.4662593538,791491.1919630348,602.5214537742229,490230.46507592406,0.0,169.0,1961,501.9999990705728,3.0,306558.82005574636,110186.40429004586,734.8376457924836,0.36996639199861414,12.471704836540864,11087.0,538.0,42.006837129592896,465.3108558654785,41415
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,132,335,31,413,drivers,1.3145734926484043e6,483781.0121228566,830792.4805255476,650.764361889213,505410.2995809418,0.0,167.0,2042,514.999999070574,3.0,309628.50317018083,111692.03094458647,734.8376457924836,0.3685112857450565,12.471704836540864,9503.0,445.0,32.87483596801758,3602.5381071567535,44595
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,138,363,10,395,drivers,1.3559105258450955e6,533565.8698946135,822344.6559504819,653.2019027679756,495743.70456649427,0.0,164.0,2223,556.9999990705744,3.0,344438.4630362688,121156.60749839252,734.8376457924836,0.37044607005046737,12.471704836540864,11023.0,564.0,56.16058683395386,262.8964240550995,42181
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,144,365,18,411,drivers,1.3871350386776708e6,538660.1885488674,848474.8501288034,704.4315148952395,496259.09268118406,0.0,167.0,2294,566.9999990705744,3.0,348161.23652283015,122464.7065497199,734.8376457924836,0.3687638785234244,12.471704836540864,9526.0,422.0,55.12402701377869,3380.7045719623566,43874
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,150,429,14,361,drivers,1.4415135107445847e6,602555.3929133938,838958.1178311908,714.6229414206439,481646.6471208689,0.0,173.0,2509,609.9999990705744,3.0,390083.11262440134,132561.67705029863,734.8376457924836,0.36911778831189546,12.471704836540864,11102.0,523.0,45.35069179534912,3603.4053270816803,38695
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,156,431,25,384,drivers,1.484742233885873e6,606710.2221704049,878032.0117154683,765.6597357768645,495202.1438270361,0.0,175.0,2601,613.9999990705745,3.0,393637.8817968292,133048.06034917128,734.8376457924836,0.36793244723253876,12.471704836540864,9539.0,409.0,49.381619930267334,3602.737462043762,40755
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,162,469,16,362,drivers,1.54026409703766e6,657427.0380556214,882837.0589820386,790.4803656587758,487596.8761526511,0.0,180.0,2798,660.9999990705745,4.0,427346.4246137811,144492.48741908596,923.1172782173124,0.36104481340954464,12.471704836540864,11088.0,499.0,162.57658004760742,482.9244408607483,37938
ex4_otd_rundate2022-03-23,4,72,6,66,3316,2495,5777,500,162,831,,,final,,,,1.375778123038707e6,1.375778123038707e6,,,,,,,,,898543.9405662712,,,0.7958340443599338,17.792090598325366,,,,,,,
