experiment_id,instance,method,weekstart,horizon,tstep,driverfactor,rho-value,opt_gap,lambda,maxdriverhours,lambda2,varsettingiterations,strengthenredcosts,formulation,columnmemory,variablefixing_lb,variablefixing_ub,deletioniterationpct,deletionthreshold,cuttype,symmetrybreaking
58,4,ipred,6/23/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
59,4,ipred,6/23/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
60,4,ipred,6/23/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
61,4,ip,6/30/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
62,4,ipred,6/30/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
63,4,ipred,6/30/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
64,4,ipred,6/30/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
65,4,ip,7/7/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
66,4,ipred,7/7/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
67,4,ipred,7/7/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
68,4,ipred,7/7/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
69,4,ip,7/14/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
70,4,ipred,7/14/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
71,4,ipred,7/14/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
72,4,ipred,7/14/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
73,4,ip,7/21/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
74,4,ipred,7/21/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
75,4,ipred,7/21/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
76,4,ipred,7/21/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
77,4,ip,7/28/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
78,4,ipred,7/28/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
79,4,ipred,7/28/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
80,4,ipred,7/28/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
81,4,ip,8/4/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
82,4,ipred,8/4/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
83,4,ipred,8/4/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
84,4,ipred,8/4/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
85,4,ip,8/11/2019,7,6,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
86,4,ipred,8/11/2019,7,6,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
87,4,ipred,8/11/2019,7,6,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
88,4,ipred,8/11/2019,7,6,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
89,4,ip,6/23/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
90,4,ipred,6/23/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
91,4,ipred,6/23/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
92,4,ipred,6/23/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
93,4,ip,6/30/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
94,4,ipred,6/30/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
95,4,ipred,6/30/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
96,4,ipred,6/30/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
97,4,ip,7/7/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
98,4,ipred,7/7/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
99,4,ipred,7/7/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
100,4,ipred,7/7/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
101,4,ip,7/14/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
102,4,ipred,7/14/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
103,4,ipred,7/14/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
104,4,ipred,7/14/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
105,4,ip,7/21/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
106,4,ipred,7/21/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
107,4,ipred,7/21/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
108,4,ipred,7/21/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
109,4,ip,7/28/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
110,4,ipred,7/28/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
111,4,ipred,7/28/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
112,4,ipred,7/28/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
113,4,ip,8/4/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
114,4,ipred,8/4/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
115,4,ipred,8/4/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
116,4,ipred,8/4/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
117,4,ip,8/11/2019,5,3,5.5,0,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
118,4,ipred,8/11/2019,5,3,5.5,0.25,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
119,4,ipred,8/11/2019,5,3,5.5,0.5,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
120,4,ipred,8/11/2019,5,3,5.5,1,0.001,500,36,0.01,0,0,homogeneous,1000,1,1,1,-1,0,0
121,4,arcip,6/23/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
122,4,ip,6/23/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
123,4,lpcuts,6/23/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
124,4,ipred,6/23/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
125,4,ipred,6/23/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
126,4,ipred,6/23/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
127,4,arcip,6/30/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
128,4,ip,6/30/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
129,4,lpcuts,6/30/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
130,4,ipred,6/30/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
131,4,ipred,6/30/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
132,4,ipred,6/30/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
133,4,arcip,7/7/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
134,4,ip,7/7/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
135,4,lpcuts,7/7/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
136,4,ipred,7/7/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
137,4,ipred,7/7/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
138,4,ipred,7/7/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
139,4,arcip,7/14/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
140,4,ip,7/14/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
141,4,lpcuts,7/14/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
142,4,ipred,7/14/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
143,4,ipred,7/14/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
144,4,ipred,7/14/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
145,4,arcip,7/21/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
146,4,ip,7/21/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
147,4,lpcuts,7/21/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
148,4,ipred,7/21/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
149,4,ipred,7/21/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
150,4,ipred,7/21/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
151,4,arcip,7/28/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
152,4,ip,7/28/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
153,4,lpcuts,7/28/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
154,4,ipred,7/28/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
155,4,ipred,7/28/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
156,4,ipred,7/28/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
157,4,arcip,8/4/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
158,4,ip,8/4/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
159,4,lpcuts,8/4/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
160,4,ipred,8/4/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
161,4,ipred,8/4/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
162,4,ipred,8/4/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
163,4,arcip,8/11/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
164,4,ip,8/11/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
165,4,lpcuts,8/11/2019,3,6,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
166,4,ipred,8/11/2019,3,6,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
167,4,ipred,8/11/2019,3,6,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
168,4,ipred,8/11/2019,3,6,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
169,4,arcip,6/23/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
170,4,ip,6/23/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
171,4,lpcuts,6/23/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
172,4,ipred,6/23/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
173,4,ipred,6/23/2019,3,3,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
174,4,ipred,6/23/2019,3,3,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
175,4,arcip,6/30/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
176,4,ip,6/30/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
177,4,lpcuts,6/30/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
178,4,ipred,6/30/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
179,4,ipred,6/30/2019,3,3,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
180,4,ipred,6/30/2019,3,3,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
181,4,arcip,7/7/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
182,4,ip,7/7/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
183,4,lpcuts,7/7/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
184,4,ipred,7/7/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
185,4,ipred,7/7/2019,3,3,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
186,4,ipred,7/7/2019,3,3,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
187,4,arcip,7/14/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
188,4,ip,7/14/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
189,4,lpcuts,7/14/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
190,4,ipred,7/14/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
191,4,ipred,7/14/2019,3,3,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
192,4,ipred,7/14/2019,3,3,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
193,4,arcip,7/21/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
194,4,ip,7/21/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
195,4,lpcuts,7/21/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
196,4,ipred,7/21/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
197,4,ipred,7/21/2019,3,3,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
198,4,ipred,7/21/2019,3,3,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
199,4,arcip,7/28/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
200,4,ip,7/28/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
201,4,lpcuts,7/28/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
202,4,ipred,7/28/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
203,4,ipred,7/28/2019,3,3,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
204,4,ipred,7/28/2019,3,3,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
205,4,arcip,8/4/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
206,4,ip,8/4/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
207,4,lpcuts,8/4/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
208,4,ipred,8/4/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
209,4,ipred,8/4/2019,3,3,5.5,0.5,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
210,4,ipred,8/4/2019,3,3,5.5,1,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
211,4,arcip,8/11/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
212,4,ip,8/11/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
213,4,lpcuts,8/11/2019,3,3,5.5,0,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,6,0
214,4,ipred,8/11/2019,3,3,5.5,0.25,0.001,500,24,0.01,0,0,heterogeneous,1000,1,1,1,-1,0,0
