experiment,cb,ab,db,totalflow,stdev,seed
87,1,0.7,0.9,500,0.2,
88,1,0.7,1,500,0.2,
89,1,0.8,0,500,0.2,
90,1,0.8,0.1,500,0.2,
91,1,0.8,0.2,500,0.2,
92,1,0.8,0.3,500,0.2,
93,1,0.8,0.4,500,0.2,
94,1,0.8,0.5,500,0.2,
95,1,0.8,0.6,500,0.2,
96,1,0.8,0.7,500,0.2,
97,1,0.8,0.8,500,0.2,
98,1,0.8,0.9,500,0.2,
99,1,0.8,1,500,0.2,
100,1,0.9,0,500,0.2,
101,1,0.9,0.1,500,0.2,
102,1,0.9,0.2,500,0.2,
103,1,0.9,0.3,500,0.2,
104,1,0.9,0.4,500,0.2,
105,1,0.9,0.5,500,0.2,
106,1,0.9,0.6,500,0.2,
107,1,0.9,0.7,500,0.2,
108,1,0.9,0.8,500,0.2,
109,1,0.9,0.9,500,0.2,
110,1,0.9,1,500,0.2,
111,1,1,0,500,0.2,
112,1,1,0.1,500,0.2,
113,1,1,0.2,500,0.2,
114,1,1,0.3,500,0.2,
115,1,1,0.4,500,0.2,
116,1,1,0.5,500,0.2,
117,1,1,0.6,500,0.2,
118,1,1,0.7,500,0.2,
119,1,1,0.8,500,0.2,
120,1,1,0.9,500,0.2,
121,1,1,1,500,0.2,
122,1,0,0,500,0.1,
123,1,0,0.1,500,0.1,
124,1,0,0.2,500,0.1,
125,1,0,0.3,500,0.1,
126,1,0,0.4,500,0.1,
127,1,0,0.5,500,0.1,
128,1,0,0.6,500,0.1,
129,1,0,0.7,500,0.1,
130,1,0,0.8,500,0.1,
131,1,0,0.9,500,0.1,
132,1,0,1,500,0.1,
133,1,0.1,0,500,0.1,
134,1,0.1,0.1,500,0.1,
135,1,0.1,0.2,500,0.1,
136,1,0.1,0.3,500,0.1,
137,1,0.1,0.4,500,0.1,
138,1,0.1,0.5,500,0.1,
139,1,0.1,0.6,500,0.1,
140,1,0.1,0.7,500,0.1,
141,1,0.1,0.8,500,0.1,
142,1,0.1,0.9,500,0.1,
143,1,0.1,1,500,0.1,
144,1,0.2,0,500,0.1,
145,1,0.2,0.1,500,0.1,
146,1,0.2,0.2,500,0.1,
147,1,0.2,0.3,500,0.1,
148,1,0.2,0.4,500,0.1,
149,1,0.2,0.5,500,0.1,
150,1,0.2,0.6,500,0.1,
151,1,0.2,0.7,500,0.1,
152,1,0.2,0.8,500,0.1,
153,1,0.2,0.9,500,0.1,
154,1,0.2,1,500,0.1,
155,1,0.3,0,500,0.1,
156,1,0.3,0.1,500,0.1,
157,1,0.3,0.2,500,0.1,
158,1,0.3,0.3,500,0.1,
159,1,0.3,0.4,500,0.1,
160,1,0.3,0.5,500,0.1,
161,1,0.3,0.6,500,0.1,
162,1,0.3,0.7,500,0.1,
163,1,0.3,0.8,500,0.1,
164,1,0.3,0.9,500,0.1,
165,1,0.3,1,500,0.1,
166,1,0.4,0,500,0.1,
167,1,0.4,0.1,500,0.1,
168,1,0.4,0.2,500,0.1,
169,1,0.4,0.3,500,0.1,
170,1,0.4,0.4,500,0.1,
171,1,0.4,0.5,500,0.1,
172,1,0.4,0.6,500,0.1,
173,1,0.4,0.7,500,0.1,
174,1,0.4,0.8,500,0.1,
175,1,0.4,0.9,500,0.1,
176,1,0.4,1,500,0.1,
177,1,0.5,0,500,0.1,
178,1,0.5,0.1,500,0.1,
179,1,0.5,0.2,500,0.1,
180,1,0.5,0.3,500,0.1,
181,1,0.5,0.4,500,0.1,
182,1,0.5,0.5,500,0.1,
183,1,0.5,0.6,500,0.1,
184,1,0.5,0.7,500,0.1,
185,1,0.5,0.8,500,0.1,
186,1,0.5,0.9,500,0.1,
187,1,0.5,1,500,0.1,
188,1,0.6,0,500,0.1,
189,1,0.6,0.1,500,0.1,
190,1,0.6,0.2,500,0.1,
191,1,0.6,0.3,500,0.1,
192,1,0.6,0.4,500,0.1,
193,1,0.6,0.5,500,0.1,
194,1,0.6,0.6,500,0.1,
195,1,0.6,0.7,500,0.1,
196,1,0.6,0.8,500,0.1,
197,1,0.6,0.9,500,0.1,
198,1,0.6,1,500,0.1,
199,1,0.7,0,500,0.1,
200,1,0.7,0.1,500,0.1,
201,1,0.7,0.2,500,0.1,
202,1,0.7,0.3,500,0.1,
203,1,0.7,0.4,500,0.1,
204,1,0.7,0.5,500,0.1,
205,1,0.7,0.6,500,0.1,
206,1,0.7,0.7,500,0.1,
207,1,0.7,0.8,500,0.1,
208,1,0.7,0.9,500,0.1,
209,1,0.7,1,500,0.1,
210,1,0.8,0,500,0.1,
211,1,0.8,0.1,500,0.1,
212,1,0.8,0.2,500,0.1,
213,1,0.8,0.3,500,0.1,
214,1,0.8,0.4,500,0.1,
215,1,0.8,0.5,500,0.1,
216,1,0.8,0.6,500,0.1,
217,1,0.8,0.7,500,0.1,
218,1,0.8,0.8,500,0.1,
219,1,0.8,0.9,500,0.1,
220,1,0.8,1,500,0.1,
221,1,0.9,0,500,0.1,
222,1,0.9,0.1,500,0.1,
223,1,0.9,0.2,500,0.1,
224,1,0.9,0.3,500,0.1,
225,1,0.9,0.4,500,0.1,
226,1,0.9,0.5,500,0.1,
227,1,0.9,0.6,500,0.1,
228,1,0.9,0.7,500,0.1,
229,1,0.9,0.8,500,0.1,
230,1,0.9,0.9,500,0.1,
231,1,0.9,1,500,0.1,
232,1,1,0,500,0.1,
233,1,1,0.1,500,0.1,
234,1,1,0.2,500,0.1,
235,1,1,0.3,500,0.1,
236,1,1,0.4,500,0.1,
237,1,1,0.5,500,0.1,
238,1,1,0.6,500,0.1,
239,1,1,0.7,500,0.1,
240,1,1,0.8,500,0.1,
241,1,1,0.9,500,0.1,
242,1,1,1,500,0.1,
243,1,0,0,500,0.3,
244,1,0,0.1,500,0.3,
245,1,0,0.2,500,0.3,
246,1,0,0.3,500,0.3,
247,1,0,0.4,500,0.3,
248,1,0,0.5,500,0.3,
249,1,0,0.6,500,0.3,
250,1,0,0.7,500,0.3,
251,1,0,0.8,500,0.3,
252,1,0,0.9,500,0.3,
253,1,0,1,500,0.3,
254,1,0.1,0,500,0.3,
255,1,0.1,0.1,500,0.3,
256,1,0.1,0.2,500,0.3,
257,1,0.1,0.3,500,0.3,
258,1,0.1,0.4,500,0.3,
259,1,0.1,0.5,500,0.3,
260,1,0.1,0.6,500,0.3,
261,1,0.1,0.7,500,0.3,
262,1,0.1,0.8,500,0.3,
263,1,0.1,0.9,500,0.3,
264,1,0.1,1,500,0.3,
265,1,0.2,0,500,0.3,
266,1,0.2,0.1,500,0.3,
267,1,0.2,0.2,500,0.3,
268,1,0.2,0.3,500,0.3,
269,1,0.2,0.4,500,0.3,
270,1,0.2,0.5,500,0.3,
271,1,0.2,0.6,500,0.3,
272,1,0.2,0.7,500,0.3,
273,1,0.2,0.8,500,0.3,
274,1,0.2,0.9,500,0.3,
275,1,0.2,1,500,0.3,
276,1,0.3,0,500,0.3,
277,1,0.3,0.1,500,0.3,
278,1,0.3,0.2,500,0.3,
279,1,0.3,0.3,500,0.3,
280,1,0.3,0.4,500,0.3,
281,1,0.3,0.5,500,0.3,
282,1,0.3,0.6,500,0.3,
283,1,0.3,0.7,500,0.3,
284,1,0.3,0.8,500,0.3,
285,1,0.3,0.9,500,0.3,
286,1,0.3,1,500,0.3,
287,1,0.4,0,500,0.3,
288,1,0.4,0.1,500,0.3,
289,1,0.4,0.2,500,0.3,
290,1,0.4,0.3,500,0.3,
291,1,0.4,0.4,500,0.3,
292,1,0.4,0.5,500,0.3,
293,1,0.4,0.6,500,0.3,
294,1,0.4,0.7,500,0.3,
295,1,0.4,0.8,500,0.3,
296,1,0.4,0.9,500,0.3,
297,1,0.4,1,500,0.3,
298,1,0.5,0,500,0.3,
299,1,0.5,0.1,500,0.3,
300,1,0.5,0.2,500,0.3,
301,1,0.5,0.3,500,0.3,
302,1,0.5,0.4,500,0.3,
303,1,0.5,0.5,500,0.3,
304,1,0.5,0.6,500,0.3,
305,1,0.5,0.7,500,0.3,
306,1,0.5,0.8,500,0.3,
307,1,0.5,0.9,500,0.3,
308,1,0.5,1,500,0.3,
309,1,0.6,0,500,0.3,
310,1,0.6,0.1,500,0.3,
311,1,0.6,0.2,500,0.3,
312,1,0.6,0.3,500,0.3,
313,1,0.6,0.4,500,0.3,
314,1,0.6,0.5,500,0.3,
315,1,0.6,0.6,500,0.3,
316,1,0.6,0.7,500,0.3,
317,1,0.6,0.8,500,0.3,
318,1,0.6,0.9,500,0.3,
319,1,0.6,1,500,0.3,
320,1,0.7,0,500,0.3,
321,1,0.7,0.1,500,0.3,
322,1,0.7,0.2,500,0.3,
323,1,0.7,0.3,500,0.3,
324,1,0.7,0.4,500,0.3,
325,1,0.7,0.5,500,0.3,
326,1,0.7,0.6,500,0.3,
327,1,0.7,0.7,500,0.3,
328,1,0.7,0.8,500,0.3,
329,1,0.7,0.9,500,0.3,
330,1,0.7,1,500,0.3,
331,1,0.8,0,500,0.3,
332,1,0.8,0.1,500,0.3,
333,1,0.8,0.2,500,0.3,
334,1,0.8,0.3,500,0.3,
335,1,0.8,0.4,500,0.3,
336,1,0.8,0.5,500,0.3,
337,1,0.8,0.6,500,0.3,
338,1,0.8,0.7,500,0.3,
339,1,0.8,0.8,500,0.3,
340,1,0.8,0.9,500,0.3,
341,1,0.8,1,500,0.3,
342,1,0.9,0,500,0.3,
343,1,0.9,0.1,500,0.3,
344,1,0.9,0.2,500,0.3,
345,1,0.9,0.3,500,0.3,
346,1,0.9,0.4,500,0.3,
347,1,0.9,0.5,500,0.3,
348,1,0.9,0.6,500,0.3,
349,1,0.9,0.7,500,0.3,
350,1,0.9,0.8,500,0.3,
351,1,0.9,0.9,500,0.3,
352,1,0.9,1,500,0.3,
353,1,1,0,500,0.3,
354,1,1,0.1,500,0.3,
355,1,1,0.2,500,0.3,
356,1,1,0.3,500,0.3,
357,1,1,0.4,500,0.3,
358,1,1,0.5,500,0.3,
359,1,1,0.6,500,0.3,
360,1,1,0.7,500,0.3,
361,1,1,0.8,500,0.3,
362,1,1,0.9,500,0.3,
363,1,1,1,500,0.3,
364,1,0,0,500,0.5,
365,1,0,0.1,500,0.5,
366,1,0,0.2,500,0.5,
367,1,0,0.3,500,0.5,
368,1,0,0.4,500,0.5,
369,1,0,0.5,500,0.5,
370,1,0,0.6,500,0.5,
371,1,0,0.7,500,0.5,
372,1,0,0.8,500,0.5,
373,1,0,0.9,500,0.5,
374,1,0,1,500,0.5,
375,1,0.1,0,500,0.5,
376,1,0.1,0.1,500,0.5,
377,1,0.1,0.2,500,0.5,
378,1,0.1,0.3,500,0.5,
379,1,0.1,0.4,500,0.5,
380,1,0.1,0.5,500,0.5,
381,1,0.1,0.6,500,0.5,
382,1,0.1,0.7,500,0.5,
383,1,0.1,0.8,500,0.5,
384,1,0.1,0.9,500,0.5,
385,1,0.1,1,500,0.5,
386,1,0.2,0,500,0.5,
387,1,0.2,0.1,500,0.5,
388,1,0.2,0.2,500,0.5,
389,1,0.2,0.3,500,0.5,
390,1,0.2,0.4,500,0.5,
391,1,0.2,0.5,500,0.5,
392,1,0.2,0.6,500,0.5,
393,1,0.2,0.7,500,0.5,
394,1,0.2,0.8,500,0.5,
395,1,0.2,0.9,500,0.5,
396,1,0.2,1,500,0.5,
397,1,0.3,0,500,0.5,
398,1,0.3,0.1,500,0.5,
399,1,0.3,0.2,500,0.5,
400,1,0.3,0.3,500,0.5,
401,1,0.3,0.4,500,0.5,
402,1,0.3,0.5,500,0.5,
403,1,0.3,0.6,500,0.5,
404,1,0.3,0.7,500,0.5,
405,1,0.3,0.8,500,0.5,
406,1,0.3,0.9,500,0.5,
407,1,0.3,1,500,0.5,
408,1,0.4,0,500,0.5,
409,1,0.4,0.1,500,0.5,
410,1,0.4,0.2,500,0.5,
411,1,0.4,0.3,500,0.5,
412,1,0.4,0.4,500,0.5,
413,1,0.4,0.5,500,0.5,
414,1,0.4,0.6,500,0.5,
415,1,0.4,0.7,500,0.5,
416,1,0.4,0.8,500,0.5,
417,1,0.4,0.9,500,0.5,
418,1,0.4,1,500,0.5,
419,1,0.5,0,500,0.5,
420,1,0.5,0.1,500,0.5,
421,1,0.5,0.2,500,0.5,
422,1,0.5,0.3,500,0.5,
423,1,0.5,0.4,500,0.5,
424,1,0.5,0.5,500,0.5,
425,1,0.5,0.6,500,0.5,
426,1,0.5,0.7,500,0.5,
427,1,0.5,0.8,500,0.5,
428,1,0.5,0.9,500,0.5,
429,1,0.5,1,500,0.5,
430,1,0.6,0,500,0.5,
431,1,0.6,0.1,500,0.5,
432,1,0.6,0.2,500,0.5,
433,1,0.6,0.3,500,0.5,
434,1,0.6,0.4,500,0.5,
435,1,0.6,0.5,500,0.5,
436,1,0.6,0.6,500,0.5,
437,1,0.6,0.7,500,0.5,
438,1,0.6,0.8,500,0.5,
439,1,0.6,0.9,500,0.5,
440,1,0.6,1,500,0.5,
441,1,0.7,0,500,0.5,
442,1,0.7,0.1,500,0.5,
443,1,0.7,0.2,500,0.5,
444,1,0.7,0.3,500,0.5,
445,1,0.7,0.4,500,0.5,
446,1,0.7,0.5,500,0.5,
447,1,0.7,0.6,500,0.5,
448,1,0.7,0.7,500,0.5,
449,1,0.7,0.8,500,0.5,
450,1,0.7,0.9,500,0.5,
451,1,0.7,1,500,0.5,
452,1,0.8,0,500,0.5,
453,1,0.8,0.1,500,0.5,
454,1,0.8,0.2,500,0.5,
455,1,0.8,0.3,500,0.5,
456,1,0.8,0.4,500,0.5,
457,1,0.8,0.5,500,0.5,
458,1,0.8,0.6,500,0.5,
459,1,0.8,0.7,500,0.5,
460,1,0.8,0.8,500,0.5,
461,1,0.8,0.9,500,0.5,
462,1,0.8,1,500,0.5,
463,1,0.9,0,500,0.5,
464,1,0.9,0.1,500,0.5,
465,1,0.9,0.2,500,0.5,
466,1,0.9,0.3,500,0.5,
467,1,0.9,0.4,500,0.5,
468,1,0.9,0.5,500,0.5,
469,1,0.9,0.6,500,0.5,
470,1,0.9,0.7,500,0.5,
471,1,0.9,0.8,500,0.5,
472,1,0.9,0.9,500,0.5,
473,1,0.9,1,500,0.5,
474,1,1,0,500,0.5,
475,1,1,0.1,500,0.5,
476,1,1,0.2,500,0.5,
477,1,1,0.3,500,0.5,
478,1,1,0.4,500,0.5,
479,1,1,0.5,500,0.5,
480,1,1,0.6,500,0.5,
481,1,1,0.7,500,0.5,
482,1,1,0.8,500,0.5,
483,1,1,0.9,500,0.5,
484,1,1,1,500,0.5,
485,1,0,0,500,1,
486,1,0,0.1,500,1,
487,1,0,0.2,500,1,
488,1,0,0.3,500,1,
489,1,0,0.4,500,1,
490,1,0,0.5,500,1,
491,1,0,0.6,500,1,
492,1,0,0.7,500,1,
493,1,0,0.8,500,1,
494,1,0,0.9,500,1,
495,1,0,1,500,1,
496,1,0.1,0,500,1,
497,1,0.1,0.1,500,1,
498,1,0.1,0.2,500,1,
499,1,0.1,0.3,500,1,
500,1,0.1,0.4,500,1,
501,1,0.1,0.5,500,1,
502,1,0.1,0.6,500,1,
503,1,0.1,0.7,500,1,
504,1,0.1,0.8,500,1,
505,1,0.1,0.9,500,1,
506,1,0.1,1,500,1,
507,1,0.2,0,500,1,
508,1,0.2,0.1,500,1,
509,1,0.2,0.2,500,1,
510,1,0.2,0.3,500,1,
511,1,0.2,0.4,500,1,
512,1,0.2,0.5,500,1,
513,1,0.2,0.6,500,1,
514,1,0.2,0.7,500,1,
515,1,0.2,0.8,500,1,
516,1,0.2,0.9,500,1,
517,1,0.2,1,500,1,
518,1,0.3,0,500,1,
519,1,0.3,0.1,500,1,
520,1,0.3,0.2,500,1,
521,1,0.3,0.3,500,1,
522,1,0.3,0.4,500,1,
523,1,0.3,0.5,500,1,
524,1,0.3,0.6,500,1,
525,1,0.3,0.7,500,1,
526,1,0.3,0.8,500,1,
527,1,0.3,0.9,500,1,
528,1,0.3,1,500,1,
529,1,0.4,0,500,1,
530,1,0.4,0.1,500,1,
531,1,0.4,0.2,500,1,
532,1,0.4,0.3,500,1,
533,1,0.4,0.4,500,1,
534,1,0.4,0.5,500,1,
535,1,0.4,0.6,500,1,
536,1,0.4,0.7,500,1,
537,1,0.4,0.8,500,1,
538,1,0.4,0.9,500,1,
539,1,0.4,1,500,1,
540,1,0.5,0,500,1,
541,1,0.5,0.1,500,1,
542,1,0.5,0.2,500,1,
543,1,0.5,0.3,500,1,
544,1,0.5,0.4,500,1,
545,1,0.5,0.5,500,1,
546,1,0.5,0.6,500,1,
547,1,0.5,0.7,500,1,
548,1,0.5,0.8,500,1,
549,1,0.5,0.9,500,1,
550,1,0.5,1,500,1,
551,1,0.6,0,500,1,
552,1,0.6,0.1,500,1,
553,1,0.6,0.2,500,1,
554,1,0.6,0.3,500,1,
555,1,0.6,0.4,500,1,
556,1,0.6,0.5,500,1,
557,1,0.6,0.6,500,1,
558,1,0.6,0.7,500,1,
559,1,0.6,0.8,500,1,
560,1,0.6,0.9,500,1,
561,1,0.6,1,500,1,
562,1,0.7,0,500,1,
563,1,0.7,0.1,500,1,
564,1,0.7,0.2,500,1,
565,1,0.7,0.3,500,1,
566,1,0.7,0.4,500,1,
567,1,0.7,0.5,500,1,
568,1,0.7,0.6,500,1,
569,1,0.7,0.7,500,1,
570,1,0.7,0.8,500,1,
571,1,0.7,0.9,500,1,
572,1,0.7,1,500,1,
573,1,0.8,0,500,1,
574,1,0.8,0.1,500,1,
575,1,0.8,0.2,500,1,
576,1,0.8,0.3,500,1,
577,1,0.8,0.4,500,1,
578,1,0.8,0.5,500,1,
579,1,0.8,0.6,500,1,
580,1,0.8,0.7,500,1,
581,1,0.8,0.8,500,1,
582,1,0.8,0.9,500,1,
583,1,0.8,1,500,1,
584,1,0.9,0,500,1,
585,1,0.9,0.1,500,1,
586,1,0.9,0.2,500,1,
587,1,0.9,0.3,500,1,
588,1,0.9,0.4,500,1,
589,1,0.9,0.5,500,1,
590,1,0.9,0.6,500,1,
591,1,0.9,0.7,500,1,
592,1,0.9,0.8,500,1,
593,1,0.9,0.9,500,1,
594,1,0.9,1,500,1,
595,1,1,0,500,1,
596,1,1,0.1,500,1,
597,1,1,0.2,500,1,
598,1,1,0.3,500,1,
599,1,1,0.4,500,1,
600,1,1,0.5,500,1,
601,1,1,0.6,500,1,
602,1,1,0.7,500,1,
603,1,1,0.8,500,1,
604,1,1,0.9,500,1,
605,1,1,1,500,1,
606,1,0,0,500,0.3,73511
607,1,0,0.1,500,0.3,69211
608,1,0,0.2,500,0.3,90076
609,1,0,0.3,500,0.3,56248
610,1,0,0.4,500,0.3,60578
611,1,0,0.5,500,0.3,35584
612,1,0,0.6,500,0.3,76041
613,1,0,0.7,500,0.3,25304
614,1,0,0.8,500,0.3,52033
615,1,0,0.9,500,0.3,53444
616,1,0,1,500,0.3,47801
617,1,0.1,0,500,0.3,61618
618,1,0.1,0.1,500,0.3,73279
619,1,0.1,0.2,500,0.3,88969
620,1,0.1,0.3,500,0.3,47630
621,1,0.1,0.4,500,0.3,86684
622,1,0.1,0.5,500,0.3,19416
623,1,0.1,0.6,500,0.3,60124
624,1,0.1,0.7,500,0.3,75619
625,1,0.1,0.8,500,0.3,31132
626,1,0.1,0.9,500,0.3,52173
627,1,0.1,1,500,0.3,87100
628,1,0.2,0,500,0.3,39388
629,1,0.2,0.1,500,0.3,36600
630,1,0.2,0.2,500,0.3,75832
631,1,0.2,0.3,500,0.3,29744
632,1,0.2,0.4,500,0.3,24540
633,1,0.2,0.5,500,0.3,82428
634,1,0.2,0.6,500,0.3,6187
635,1,0.2,0.7,500,0.3,27353
636,1,0.2,0.8,500,0.3,58616
637,1,0.2,0.9,500,0.3,10566
638,1,0.2,1,500,0.3,34631
639,1,0.3,0,500,0.3,78971
640,1,0.3,0.1,500,0.3,12472
641,1,0.3,0.2,500,0.3,21523
642,1,0.3,0.3,500,0.3,13152
643,1,0.3,0.4,500,0.3,27351
644,1,0.3,0.5,500,0.3,15820
645,1,0.3,0.6,500,0.3,42405
646,1,0.3,0.7,500,0.3,30543
647,1,0.3,0.8,500,0.3,96122
648,1,0.3,0.9,500,0.3,50007
649,1,0.3,1,500,0.3,43341
650,1,0.4,0,500,0.3,19260
651,1,0.4,0.1,500,0.3,58665
652,1,0.4,0.2,500,0.3,64497
653,1,0.4,0.3,500,0.3,29626
654,1,0.4,0.4,500,0.3,72607
655,1,0.4,0.5,500,0.3,58618
656,1,0.4,0.6,500,0.3,76310
657,1,0.4,0.7,500,0.3,95141
658,1,0.4,0.8,500,0.3,70191
659,1,0.4,0.9,500,0.3,54995
660,1,0.4,1,500,0.3,77790
661,1,0.5,0,500,0.3,82404
662,1,0.5,0.1,500,0.3,4248
663,1,0.5,0.2,500,0.3,21033
664,1,0.5,0.3,500,0.3,47775
665,1,0.5,0.4,500,0.3,36636
666,1,0.5,0.5,500,0.3,45355
667,1,0.5,0.6,500,0.3,59881
668,1,0.5,0.7,500,0.3,98462
669,1,0.5,0.8,500,0.3,40273
670,1,0.5,0.9,500,0.3,7884
671,1,0.5,1,500,0.3,95355
672,1,0.6,0,500,0.3,61034
673,1,0.6,0.1,500,0.3,76725
674,1,0.6,0.2,500,0.3,70553
675,1,0.6,0.3,500,0.3,8668
676,1,0.6,0.4,500,0.3,52181
677,1,0.6,0.5,500,0.3,69865
678,1,0.6,0.6,500,0.3,24341
679,1,0.6,0.7,500,0.3,37801
680,1,0.6,0.8,500,0.3,4528
681,1,0.6,0.9,500,0.3,18025
682,1,0.6,1,500,0.3,58122
683,1,0.7,0,500,0.3,31922
684,1,0.7,0.1,500,0.3,31385
685,1,0.7,0.2,500,0.3,87037
686,1,0.7,0.3,500,0.3,81887
687,1,0.7,0.4,500,0.3,87972
688,1,0.7,0.5,500,0.3,62499
689,1,0.7,0.6,500,0.3,60358
690,1,0.7,0.7,500,0.3,43830
691,1,0.7,0.8,500,0.3,88540
692,1,0.7,0.9,500,0.3,96730
693,1,0.7,1,500,0.3,84670
694,1,0.8,0,500,0.3,58858
695,1,0.8,0.1,500,0.3,84291
696,1,0.8,0.2,500,0.3,12498
697,1,0.8,0.3,500,0.3,82451
698,1,0.8,0.4,500,0.3,92614
699,1,0.8,0.5,500,0.3,59568
700,1,0.8,0.6,500,0.3,79846
701,1,0.8,0.7,500,0.3,58680
702,1,0.8,0.8,500,0.3,79965
703,1,0.8,0.9,500,0.3,6469
704,1,0.8,1,500,0.3,12588
705,1,0.9,0,500,0.3,44193
706,1,0.9,0.1,500,0.3,53394
707,1,0.9,0.2,500,0.3,58517
708,1,0.9,0.3,500,0.3,28647
709,1,0.9,0.4,500,0.3,17567
710,1,0.9,0.5,500,0.3,93079
711,1,0.9,0.6,500,0.3,96918
712,1,0.9,0.7,500,0.3,40098
713,1,0.9,0.8,500,0.3,25826
714,1,0.9,0.9,500,0.3,303
715,1,0.9,1,500,0.3,46867
716,1,1,0,500,0.3,12043
717,1,1,0.1,500,0.3,94399
718,1,1,0.2,500,0.3,2215
719,1,1,0.3,500,0.3,57885
720,1,1,0.4,500,0.3,2942
721,1,1,0.5,500,0.3,60016
722,1,1,0.6,500,0.3,23530
723,1,1,0.7,500,0.3,10408
724,1,1,0.8,500,0.3,37096
725,1,1,0.9,500,0.3,38187
726,1,1,1,500,0.3,89920
727,1,0,0,500,0.5,77826
728,1,0,0.1,500,0.5,54284
729,1,0,0.2,500,0.5,51100
730,1,0,0.3,500,0.5,98757
731,1,0,0.4,500,0.5,78197
732,1,0,0.5,500,0.5,82438
733,1,0,0.6,500,0.5,7107
734,1,0,0.7,500,0.5,2599
735,1,0,0.8,500,0.5,26219
736,1,0,0.9,500,0.5,34760
737,1,0,1,500,0.5,27493
738,1,0.1,0,500,0.5,91821
739,1,0.1,0.1,500,0.5,99693
740,1,0.1,0.2,500,0.5,7550
741,1,0.1,0.3,500,0.5,48051
742,1,0.1,0.4,500,0.5,61364
743,1,0.1,0.5,500,0.5,64713
744,1,0.1,0.6,500,0.5,75505
745,1,0.1,0.7,500,0.5,76711
746,1,0.1,0.8,500,0.5,38653
747,1,0.1,0.9,500,0.5,40664
748,1,0.1,1,500,0.5,22037
749,1,0.2,0,500,0.5,4521
750,1,0.2,0.1,500,0.5,7385
751,1,0.2,0.2,500,0.5,74036
752,1,0.2,0.3,500,0.5,99817
753,1,0.2,0.4,500,0.5,20708
754,1,0.2,0.5,500,0.5,81182
755,1,0.2,0.6,500,0.5,61306
756,1,0.2,0.7,500,0.5,23049
757,1,0.2,0.8,500,0.5,23629
758,1,0.2,0.9,500,0.5,87541
759,1,0.2,1,500,0.5,98265
760,1,0.3,0,500,0.5,44621
