experiment,cb,ab,db,totalflow,n,stdev,seed,dist,lb,ub
222,1,1,1,500,4,0.2,96663,normal,0,250
223,1,1,1,500,5,0.2,38621,normal,0,250
224,1,1,1,500,6,0.2,29988,normal,0,250
225,1,1,1,500,7,0.2,47224,normal,0,250
226,1,1,1,500,8,0.2,99253,normal,0,250
227,1,1,1,500,9,0.2,89174,normal,0,250
228,1,1,1,500,10,0.2,31509,normal,0,250
229,1,1,1,500,1,0.3,24491,normal,0,250
230,1,1,1,500,2,0.3,91643,normal,0,250
231,1,1,1,500,3,0.3,71538,normal,0,250
232,1,1,1,500,4,0.3,92996,normal,0,250
233,1,1,1,500,5,0.3,19224,normal,0,250
234,1,1,1,500,6,0.3,47835,normal,0,250
235,1,1,1,500,7,0.3,78459,normal,0,250
236,1,1,1,500,8,0.3,25847,normal,0,250
237,1,1,1,500,9,0.3,61410,normal,0,250
238,1,1,1,500,10,0.3,61801,normal,0,250
239,1,1,1,500,1,0.4,55437,normal,0,250
240,1,1,1,500,2,0.4,12525,normal,0,250
241,1,1,1,500,3,0.4,84948,normal,0,250
242,1,1,1,500,4,0.4,55165,normal,0,250
243,1,1,1,500,5,0.4,20436,normal,0,250
244,1,1,1,500,6,0.4,92053,normal,0,250
245,1,1,1,500,7,0.4,95571,normal,0,250
246,1,1,1,500,8,0.4,7186,normal,0,250
247,1,1,1,500,9,0.4,10025,normal,0,250
248,1,1,1,500,10,0.4,55544,normal,0,250
249,1,1,1,500,1,0.5,82316,normal,0,250
250,1,1,1,500,2,0.5,19918,normal,0,250
251,1,1,1,500,3,0.5,61168,normal,0,250
252,1,1,1,500,4,0.5,86429,normal,0,250
253,1,1,1,500,5,0.5,5242,normal,0,250
254,1,1,1,500,6,0.5,2804,normal,0,250
255,1,1,1,500,7,0.5,16281,normal,0,250
256,1,1,1,500,8,0.5,75530,normal,0,250
257,1,1,1,500,9,0.5,38164,normal,0,250
258,1,1,1,500,10,0.5,93390,normal,0,250
259,1,1,1,500,1,0.6,13624,normal,0,250
260,1,1,1,500,2,0.6,91608,normal,0,250
261,1,1,1,500,3,0.6,14632,normal,0,250
262,1,1,1,500,4,0.6,36859,normal,0,250
263,1,1,1,500,5,0.6,40397,normal,0,250
264,1,1,1,500,6,0.6,15975,normal,0,250
265,1,1,1,500,7,0.6,33272,normal,0,250
266,1,1,1,500,8,0.6,51112,normal,0,250
267,1,1,1,500,9,0.6,94556,normal,0,250
268,1,1,1,500,10,0.6,83737,normal,0,250
269,1,1,1,500,1,0.7,11129,normal,0,250
270,1,1,1,500,2,0.7,49714,normal,0,250
271,1,1,1,500,3,0.7,5555,normal,0,250
272,1,1,1,500,4,0.7,99576,normal,0,250
273,1,1,1,500,5,0.7,48226,normal,0,250
274,1,1,1,500,6,0.7,40824,normal,0,250
275,1,1,1,500,7,0.7,72696,normal,0,250
276,1,1,1,500,8,0.7,65182,normal,0,250
277,1,1,1,500,9,0.7,21782,normal,0,250
278,1,1,1,500,10,0.7,48994,normal,0,250
279,1,1,1,500,1,0.8,53030,normal,0,250
280,1,1,1,500,2,0.8,7786,normal,0,250
281,1,1,1,500,3,0.8,12250,normal,0,250
282,1,1,1,500,4,0.8,19003,normal,0,250
283,1,1,1,500,5,0.8,46168,normal,0,250
284,1,1,1,500,6,0.8,60446,normal,0,250
285,1,1,1,500,7,0.8,54591,normal,0,250
286,1,1,1,500,8,0.8,15453,normal,0,250
287,1,1,1,500,9,0.8,79802,normal,0,250
288,1,1,1,500,10,0.8,26015,normal,0,250
289,1,1,1,500,1,0.9,91073,normal,0,250
290,1,1,1,500,2,0.9,99670,normal,0,250
291,1,1,1,500,3,0.9,42818,normal,0,250
292,1,1,1,500,4,0.9,97338,normal,0,250
293,1,1,1,500,5,0.9,99225,normal,0,250
294,1,1,1,500,6,0.9,23827,normal,0,250
295,1,1,1,500,7,0.9,12990,normal,0,250
296,1,1,1,500,8,0.9,39462,normal,0,250
297,1,1,1,500,9,0.9,33075,normal,0,250
298,1,1,1,500,10,0.9,98003,normal,0,250
299,1,1,1,500,1,1,18947,normal,0,250
300,1,1,1,500,2,1,2154,normal,0,250
301,1,1,1,500,3,1,83680,normal,0,250
302,1,1,1,500,4,1,86915,normal,0,250
303,1,1,1,500,5,1,21799,normal,0,250
304,1,1,1,500,6,1,93827,normal,0,250
305,1,1,1,500,7,1,682,normal,0,250
306,1,1,1,500,8,1,98140,normal,0,250
307,1,1,1,500,9,1,27121,normal,0,250
308,1,1,1,500,10,1,13453,normal,0,250
309,1,1,1,500,1,0,42611,normal,0,250
310,1,1,1,500,2,0,83968,normal,0,250
311,1,1,1,500,3,0,69730,normal,0,250
312,1,1,1,500,4,0,48054,normal,0,250
313,1,1,1,500,5,0,81333,normal,0,250
314,1,1,1,500,6,0,20454,normal,0,250
315,1,1,1,500,7,0,34665,normal,0,250
316,1,1,1,500,8,0,67721,normal,0,250
317,1,1,1,500,9,0,80597,normal,0,250
318,1,1,1,500,10,0,75167,normal,0,250
319,1,1,1,500,1,0.1,28848,normal,0,250
320,1,1,1,500,2,0.1,38727,normal,0,250
321,1,1,1,500,3,0.1,1625,normal,0,250
322,1,1,1,500,4,0.1,19830,normal,0,250
323,1,1,1,500,5,0.1,4270,normal,0,250
324,1,1,1,500,6,0.1,96629,normal,0,250
325,1,1,1,500,7,0.1,93473,normal,0,250
326,1,1,1,500,8,0.1,19927,normal,0,250
327,1,1,1,500,9,0.1,56634,normal,0,250
328,1,1,1,500,10,0.1,46861,normal,0,250
329,1,1,1,500,1,0.2,54047,normal,0,250
330,1,1,1,500,2,0.2,20195,normal,0,250
331,1,1,1,500,3,0.2,57875,normal,0,250
332,1,1,1,500,4,0.2,33257,normal,0,250
333,1,1,1,500,5,0.2,79658,normal,0,250
334,1,1,1,500,6,0.2,25680,normal,0,250
335,1,1,1,500,7,0.2,78412,normal,0,250
336,1,1,1,500,8,0.2,73556,normal,0,250
337,1,1,1,500,9,0.2,88393,normal,0,250
338,1,1,1,500,10,0.2,33637,normal,0,250
339,1,1,1,500,1,0.3,61400,normal,0,250
340,1,1,1,500,2,0.3,43893,normal,0,250
341,1,1,1,500,3,0.3,35167,normal,0,250
342,1,1,1,500,4,0.3,82811,normal,0,250
343,1,1,1,500,5,0.3,26277,normal,0,250
344,1,1,1,500,6,0.3,49102,normal,0,250
345,1,1,1,500,7,0.3,5594,normal,0,250
346,1,1,1,500,8,0.3,88544,normal,0,250
347,1,1,1,500,9,0.3,6336,normal,0,250
348,1,1,1,500,10,0.3,43555,normal,0,250
349,1,1,1,500,1,0.4,27252,normal,0,250
350,1,1,1,500,2,0.4,64203,normal,0,250
351,1,1,1,500,3,0.4,9600,normal,0,250
352,1,1,1,500,4,0.4,23633,normal,0,250
353,1,1,1,500,5,0.4,9029,normal,0,250
354,1,1,1,500,6,0.4,1229,normal,0,250
355,1,1,1,500,7,0.4,88100,normal,0,250
356,1,1,1,500,8,0.4,52124,normal,0,250
357,1,1,1,500,9,0.4,90841,normal,0,250
358,1,1,1,500,10,0.4,80287,normal,0,250
359,1,1,1,500,1,0.5,55705,normal,0,250
360,1,1,1,500,2,0.5,69691,normal,0,250
361,1,1,1,500,3,0.5,10046,normal,0,250
362,1,1,1,500,4,0.5,22678,normal,0,250
363,1,1,1,500,5,0.5,8075,normal,0,250
364,1,1,1,500,6,0.5,19727,normal,0,250
365,1,1,1,500,7,0.5,65360,normal,0,250
366,1,1,1,500,8,0.5,32748,normal,0,250
367,1,1,1,500,9,0.5,1915,normal,0,250
368,1,1,1,500,10,0.5,66396,normal,0,250
369,1,1,1,500,1,0.6,11780,normal,0,250
370,1,1,1,500,2,0.6,29566,normal,0,250
371,1,1,1,500,3,0.6,95836,normal,0,250
372,1,1,1,500,4,0.6,57813,normal,0,250
373,1,1,1,500,5,0.6,26623,normal,0,250
374,1,1,1,500,6,0.6,11757,normal,0,250
375,1,1,1,500,7,0.6,76570,normal,0,250
376,1,1,1,500,8,0.6,23722,normal,0,250
377,1,1,1,500,9,0.6,8990,normal,0,250
378,1,1,1,500,10,0.6,12963,normal,0,250
379,1,1,1,500,1,0.7,40679,normal,0,250
380,1,1,1,500,2,0.7,31871,normal,0,250
381,1,1,1,500,3,0.7,17842,normal,0,250
382,1,1,1,500,4,0.7,36375,normal,0,250
383,1,1,1,500,5,0.7,44896,normal,0,250
384,1,1,1,500,6,0.7,29636,normal,0,250
385,1,1,1,500,7,0.7,10683,normal,0,250
386,1,1,1,500,8,0.7,55627,normal,0,250
387,1,1,1,500,9,0.7,5850,normal,0,250
388,1,1,1,500,10,0.7,48076,normal,0,250
389,1,1,1,500,1,0.8,20832,normal,0,250
390,1,1,1,500,2,0.8,20539,normal,0,250
391,1,1,1,500,3,0.8,47378,normal,0,250
392,1,1,1,500,4,0.8,12034,normal,0,250
393,1,1,1,500,5,0.8,31438,normal,0,250
394,1,1,1,500,6,0.8,91219,normal,0,250
395,1,1,1,500,7,0.8,34035,normal,0,250
396,1,1,1,500,8,0.8,38646,normal,0,250
397,1,1,1,500,9,0.8,17924,normal,0,250
398,1,1,1,500,10,0.8,83173,normal,0,250
399,1,1,1,500,1,0.9,15903,normal,0,250
400,1,1,1,500,2,0.9,27591,normal,0,250
401,1,1,1,500,3,0.9,5304,normal,0,250
402,1,1,1,500,4,0.9,29079,normal,0,250
403,1,1,1,500,5,0.9,1652,normal,0,250
404,1,1,1,500,6,0.9,41298,normal,0,250
405,1,1,1,500,7,0.9,17654,normal,0,250
406,1,1,1,500,8,0.9,45604,normal,0,250
407,1,1,1,500,9,0.9,27160,normal,0,250
408,1,1,1,500,10,0.9,68329,normal,0,250
409,1,1,1,500,1,1,88890,normal,0,250
410,1,1,1,500,2,1,31223,normal,0,250
411,1,1,1,500,3,1,27178,normal,0,250
412,1,1,1,500,4,1,59370,normal,0,250
413,1,1,1,500,5,1,75977,normal,0,250
414,1,1,1,500,6,1,59964,normal,0,250
415,1,1,1,500,7,1,9481,normal,0,250
416,1,1,1,500,8,1,56558,normal,0,250
417,1,1,1,500,9,1,72325,normal,0,250
418,1,1,1,500,10,1,8459,normal,0,250
419,1,1,1,500,1,0,33481,normal,0,250
420,1,1,1,500,2,0,52319,normal,0,250
421,1,1,1,500,3,0,7616,normal,0,250
422,1,1,1,500,4,0,87357,normal,0,250
423,1,1,1,500,5,0,77651,normal,0,250
424,1,1,1,500,6,0,61242,normal,0,250
425,1,1,1,500,7,0,71242,normal,0,250
426,1,1,1,500,8,0,40053,normal,0,250
427,1,1,1,500,9,0,67769,normal,0,250
428,1,1,1,500,10,0,30930,normal,0,250
429,1,1,1,500,1,0.1,70423,normal,0,250
430,1,1,1,500,2,0.1,85382,normal,0,250
431,1,1,1,500,3,0.1,84715,normal,0,250
432,1,1,1,500,4,0.1,92510,normal,0,250
433,1,1,1,500,5,0.1,89356,normal,0,250
434,1,1,1,500,6,0.1,22349,normal,0,250
435,1,1,1,500,7,0.1,8940,normal,0,250
436,1,1,1,500,8,0.1,41875,normal,0,250
437,1,1,1,500,9,0.1,81687,normal,0,250
438,1,1,1,500,10,0.1,66247,normal,0,250
439,1,1,1,500,1,0.2,28144,normal,0,250
440,1,1,1,500,2,0.2,3756,normal,0,250
441,1,1,1,500,3,0.2,28267,normal,0,250
442,1,1,1,500,4,0.2,38506,normal,0,250
443,1,1,1,500,5,0.2,29234,normal,0,250
444,1,1,1,500,6,0.2,7172,normal,0,250
445,1,1,1,500,7,0.2,14510,normal,0,250
446,1,1,1,500,8,0.2,21117,normal,0,250
447,1,1,1,500,9,0.2,7043,normal,0,250
448,1,1,1,500,10,0.2,98244,normal,0,250
449,1,1,1,500,1,0.3,4733,normal,0,250
450,1,1,1,500,2,0.3,41278,normal,0,250
451,1,1,1,500,3,0.3,59304,normal,0,250
452,1,1,1,500,4,0.3,990,normal,0,250
453,1,1,1,500,5,0.3,16140,normal,0,250
454,1,1,1,500,6,0.3,69564,normal,0,250
455,1,1,1,500,7,0.3,65164,normal,0,250
456,1,1,1,500,8,0.3,57868,normal,0,250
457,1,1,1,500,9,0.3,66927,normal,0,250
458,1,1,1,500,10,0.3,23137,normal,0,250
459,1,1,1,500,1,0.4,52159,normal,0,250
460,1,1,1,500,2,0.4,62173,normal,0,250
461,1,1,1,500,3,0.4,46609,normal,0,250
462,1,1,1,500,4,0.4,46743,normal,0,250
463,1,1,1,500,5,0.4,11260,normal,0,250
464,1,1,1,500,6,0.4,7695,normal,0,250
465,1,1,1,500,7,0.4,66037,normal,0,250
466,1,1,1,500,8,0.4,37736,normal,0,250
467,1,1,1,500,9,0.4,2360,normal,0,250
468,1,1,1,500,10,0.4,79605,normal,0,250
469,1,1,1,500,1,0.5,69470,normal,0,250
470,1,1,1,500,2,0.5,34613,normal,0,250
471,1,1,1,500,3,0.5,74344,normal,0,250
472,1,1,1,500,4,0.5,28046,normal,0,250
473,1,1,1,500,5,0.5,81977,normal,0,250
474,1,1,1,500,6,0.5,68833,normal,0,250
475,1,1,1,500,7,0.5,8800,normal,0,250
476,1,1,1,500,8,0.5,25385,normal,0,250
477,1,1,1,500,9,0.5,86431,normal,0,250
478,1,1,1,500,10,0.5,47703,normal,0,250
479,1,1,1,500,1,0.6,17053,normal,0,250
480,1,1,1,500,2,0.6,76794,normal,0,250
481,1,1,1,500,3,0.6,56724,normal,0,250
482,1,1,1,500,4,0.6,30764,normal,0,250
483,1,1,1,500,5,0.6,10432,normal,0,250
484,1,1,1,500,6,0.6,40079,normal,0,250
485,1,1,1,500,7,0.6,84948,normal,0,250
486,1,1,1,500,8,0.6,34200,normal,0,250
487,1,1,1,500,9,0.6,46962,normal,0,250
488,1,1,1,500,10,0.6,52863,normal,0,250
489,1,1,1,500,1,0.7,63697,normal,0,250
490,1,1,1,500,2,0.7,94177,normal,0,250
491,1,1,1,500,3,0.7,17485,normal,0,250
492,1,1,1,500,4,0.7,76677,normal,0,250
493,1,1,1,500,5,0.7,59637,normal,0,250
494,1,1,1,500,6,0.7,50257,normal,0,250
495,1,1,1,500,7,0.7,88023,normal,0,250
496,1,1,1,500,8,0.7,15382,normal,0,250
497,1,1,1,500,9,0.7,12865,normal,0,250
498,1,1,1,500,10,0.7,86368,normal,0,250
499,1,1,1,500,1,0.8,18172,normal,0,250
500,1,1,1,500,2,0.8,56411,normal,0,250
501,1,1,1,500,3,0.8,62604,normal,0,250
502,1,1,1,500,4,0.8,41786,normal,0,250
503,1,1,1,500,5,0.8,68716,normal,0,250
504,1,1,1,500,6,0.8,25954,normal,0,250
505,1,1,1,500,7,0.8,82016,normal,0,250
506,1,1,1,500,8,0.8,88113,normal,0,250
507,1,1,1,500,9,0.8,66595,normal,0,250
508,1,1,1,500,10,0.8,96076,normal,0,250
509,1,1,1,500,1,0.9,14316,normal,0,250
510,1,1,1,500,2,0.9,66847,normal,0,250
511,1,1,1,500,3,0.9,67398,normal,0,250
512,1,1,1,500,4,0.9,64066,normal,0,250
513,1,1,1,500,5,0.9,78676,normal,0,250
514,1,1,1,500,6,0.9,97417,normal,0,250
515,1,1,1,500,7,0.9,39422,normal,0,250
516,1,1,1,500,8,0.9,32576,normal,0,250
517,1,1,1,500,9,0.9,40152,normal,0,250
518,1,1,1,500,10,0.9,57523,normal,0,250
519,1,1,1,500,1,1,6346,normal,0,250
520,1,1,1,500,2,1,6251,normal,0,250
521,1,1,1,500,3,1,88989,normal,0,250
522,1,1,1,500,4,1,20618,normal,0,250
523,1,1,1,500,5,1,11505,normal,0,250
524,1,1,1,500,6,1,77060,normal,0,250
525,1,1,1,500,7,1,9332,normal,0,250
526,1,1,1,500,8,1,84540,normal,0,250
527,1,1,1,500,9,1,48870,normal,0,250
528,1,1,1,500,10,1,87038,normal,0,250
529,1,1,1,500,1,0,21810,normal,0,250
530,1,1,1,500,2,0,41840,normal,0,250
531,1,1,1,500,3,0,81100,normal,0,250
532,1,1,1,500,4,0,58412,normal,0,250
533,1,1,1,500,5,0,70116,normal,0,250
534,1,1,1,500,6,0,56968,normal,0,250
535,1,1,1,500,7,0,23856,normal,0,250
536,1,1,1,500,8,0,3791,normal,0,250
537,1,1,1,500,9,0,49349,normal,0,250
538,1,1,1,500,10,0,53187,normal,0,250
539,1,1,1,500,1,0.1,14565,normal,0,250
540,1,1,1,500,2,0.1,27311,normal,0,250
541,1,1,1,500,3,0.1,9520,normal,0,250
542,1,1,1,500,4,0.1,291,normal,0,250
543,1,1,1,500,5,0.1,15916,normal,0,250
544,1,1,1,500,6,0.1,93355,normal,0,250
