stop_sequence,hub_code,actual_in_timestamp,actual_out_timestamp,id
5,TPNP1,1.56E+12,1.56E+12,9258
0,PNQP1,1.56E+12,1.56E+12,6334
3,VNSP1,1.56E+12,1.56E+12,7316
2,BAGP1,1.56E+12,1.56E+12,8067
1,DELP1,1.56E+12,1.56E+12,8070
2,JHSP1,1.56E+12,1.56E+12,8420
2,AGRP1,1.56E+12,1.56E+12,8462
3,BGMP1,1.56E+12,1.56E+12,8925
1,VAPP1,1.56E+12,1.56E+12,8288
1,VNSP1,1.56E+12,1.56E+12,6364
2,KDJP1,1.56E+12,1.56E+12,6493
1,AGRP1,1.56E+12,1.56E+12,7308
1,TPNP1,1.56E+12,1.56E+12,8245
1,AMBP1,1.56E+12,1.56E+12,8991
4,STRP1,1.56E+12,1.56E+12,7563
3,IXWP1,1.56E+12,1.56E+12,7602
2,AGRP1,1.56E+12,1.56E+12,7789
1,AGRP1,1.56E+12,1.56E+12,9643
2,AGRP1,1.56E+12,1.56E+12,8404
6,ADBP1,1.56E+12,1.56E+12,9258
2,MAAP1,1.56E+12,1.56E+12,9620
3,GTYP1,1.56E+12,1.56E+12,9886
3,BHCP1,1.56E+12,1.56E+12,6435
3,JHSP1,1.56E+12,1.56E+12,6460
2,SYNP1,1.56E+12,1.56E+12,6694
3,BAMP1,1.56E+12,1.56E+12,6809
3,MLGP1,1.56E+12,1.56E+12,7171
4,ADBP1,1.56E+12,1.56E+12,7423
2,DELP1,1.56E+12,1.56E+12,7683
3,DELP1,1.56E+12,1.56E+12,8017
4,KRNP1,1.56E+12,1.56E+12,8067
1,AGRP1,1.56E+12,1.56E+12,6803
2,BDQP1,1.56E+12,1.56E+12,8288
3,NURP1,1.56E+12,1.56E+12,8420
3,TPNP1,1.56E+12,1.56E+12,8818
3,CTAP1,1.56E+12,1.56E+12,8851
1,AMBP1,1.56E+12,1.56E+12,6959
1,SYNP1,1.56E+12,1.56E+12,7820
1,NAGP1,1.56E+12,1.56E+12,9302
1,DELP1,1.56E+12,1.56E+12,9737
3,BHCP1,1.56E+12,1.56E+12,9984
2,AUBP1,1.56E+12,1.56E+12,6364
1,TPNP1,1.56E+12,1.56E+12,7339
1,DELP1,1.56E+12,1.56E+12,7396
1,VAPP1,1.56E+12,1.56E+12,7491
4,VTZP1,1.56E+12,1.56E+12,6809
3,KNUP1,1.56E+12,1.56E+12,7308
1,BDQP1,1.56E+12,1.56E+12,8940
2,KRIP1,1.56E+12,1.56E+12,7775
3,KNUP1,1.56E+12,1.56E+12,7789
4,AGRP1,1.56E+12,1.56E+12,8017
7,BHCP1,1.56E+12,1.56E+12,8053
2,BHLP1,1.56E+12,1.56E+12,8156
4,JHSP1,1.56E+12,1.56E+12,8741
7,NAGP1,1.56E+12,1.56E+12,9258
3,GDRP1,1.56E+12,1.56E+12,9620
4,NJPP1,1.56E+12,1.56E+12,6463
3,KNUP1,1.56E+12,1.56E+12,6803
1,BOMP1,1.56E+12,1.56E+12,6462
6,NAGP1,1.56E+12,1.56E+12,7423
1,AGRP1,1.56E+12,1.56E+12,6521
3,SYNP1,1.56E+12,1.56E+12,7683
3,JHSP1,1.56E+12,1.56E+12,7820
3,KHRP1,1.56E+12,1.56E+12,8288
4,KNUP1,1.56E+12,1.56E+12,8404
4,ADBP1,1.56E+12,1.56E+12,8818
5,STRP1,1.56E+12,1.56E+12,8925
1,ADBP1,1.56E+12,1.56E+12,6705
2,DELP1,1.56E+12,1.56E+12,8991
1,MAAP1,1.56E+12,1.56E+12,6296
3,SBPP1,1.56E+12,1.56E+12,6493
4,JHSP1,1.56E+12,1.56E+12,6694
1,MAAP1,1.56E+12,1.56E+12,6709
4,NAGP1,1.56E+12,1.56E+12,7171
2,PGRP1,1.56E+12,1.56E+12,7339
1,CCUP1,1.56E+12,1.56E+12,7428
1,NAGP1,1.56E+12,1.56E+12,8944
3,KHRP1,1.56E+12,1.56E+12,8156
2,STVP1,1.56E+12,1.56E+12,8940
4,PGRP1,1.56E+12,1.56E+12,9620
3,DELP1,1.56E+12,1.56E+12,6472
2,NAGP1,1.56E+12,1.56E+12,6705
2,BDQP1,1.56E+12,1.56E+12,7491
5,JHSP1,1.56E+12,1.56E+12,7683
1,AMDP1,1.56E+12,1.56E+12,7354
6,KNUP1,1.56E+12,1.56E+12,8017
8,CCUP1,1.56E+12,1.56E+12,8053
5,HYDP1,1.56E+12,1.56E+12,8067
4,CORP1,1.56E+12,1.56E+12,8288
4,KNUP1,1.56E+12,1.56E+12,8462
5,NURP1,1.56E+12,1.56E+12,8741
5,NAGP1,1.56E+12,1.56E+12,8818
1,AMBP1,1.56E+12,1.56E+12,7690
8,NURP1,1.56E+12,1.56E+12,9258
2,NURP1,1.56E+12,1.56E+12,9302
4,BAMP1,1.56E+12,1.56E+12,9984
0,SBPP1,1.56E+12,1.56E+12,6283
2,STRP1,1.56E+12,1.56E+12,6462
4,RPRP1,1.56E+12,1.56E+12,6493
2,KNUP1,1.56E+12,1.56E+12,6521
1,SYNP1,1.56E+12,1.56E+12,7004
1,DELP1,1.56E+12,1.56E+12,7538
5,RPRP1,1.56E+12,1.56E+12,7171
2,BKSP1,1.56E+12,1.56E+12,7322
3,GDRP1,1.56E+12,1.56E+12,7339
2,SYNP1,1.56E+12,1.56E+12,7396
1,BLRP2,1.56E+12,1.56E+12,7776
1,HYDP1,1.56E+12,1.56E+12,8832
4,VNSP1,1.56E+12,1.56E+12,7789
4,NURP1,1.56E+12,1.56E+12,7820
3,TPNP1,1.56E+12,1.56E+12,7838
4,BDQP1,1.56E+12,1.56E+12,8156
1,DBDP1,1.56E+12,1.56E+12,9657
1,DELP1,1.56E+12,1.56E+12,9665
6,BGMP1,1.56E+12,1.56E+12,8851
2,ADBP1,1.56E+12,1.56E+12,8944
3,AGRP2,1.56E+12,1.56E+12,8991
1,HYDP1,1.56E+12,1.56E+12,9986
3,AGRP1,1.56E+12,1.56E+12,9737
6,BKSP1,1.56E+12,1.56E+12,6463
4,AGRP1,1.56E+12,1.56E+12,6472
5,NURP1,1.56E+12,1.56E+12,6694
3,NURP1,1.56E+12,1.56E+12,6705
3,KRIP1,1.56E+12,1.56E+12,6709
4,GKPP1,1.56E+12,1.56E+12,6803
7,SATP1,1.56E+12,1.56E+12,6809
2,STVP1,1.56E+12,1.56E+12,7354
0,PNQP1,1.56E+12,1.56E+12,7413
7,NURP1,1.56E+12,1.56E+12,7423
3,KDJP1,1.56E+12,1.56E+12,7428
3,KHRP1,1.56E+12,1.56E+12,7491
2,GDRP1,1.56E+12,1.56E+12,7735
5,AUBP1,1.56E+12,1.56E+12,7789
5,VNSP1,1.56E+12,1.56E+12,8404
4,BOMP1,1.56E+12,1.56E+12,8940
1,HYDP1,1.56E+12,1.56E+12,6728
5,TPNP1,1.56E+12,1.56E+12,9620
1,BHLP1,1.56E+12,1.56E+12,8804
1,HYDP2,1.56E+12,1.56E+12,9024
1,AGRP1,1.56E+12,1.56E+12,9130
1,PNQP1,1.56E+12,1.56E+12,9680
1,STRP1,1.56E+12,1.56E+12,9696
2,RPRP1,1.56E+12,1.56E+12,6283
1,BDQP1,1.56E+12,1.56E+12,6794
3,GDRP1,1.56E+12,1.56E+12,6296
3,BGMP1,1.56E+12,1.56E+12,6462
1,DBDP1,1.56E+12,1.56E+12,7327
1,BGMP1,1.56E+12,1.56E+12,7578
2,AGRP1,1.56E+12,1.56E+12,6947
6,SBPP1,1.56E+12,1.56E+12,7171
1,BLRP1,1.56E+12,1.56E+12,7611
4,GKPP1,1.56E+12,1.56E+12,7308
4,AUBP1,1.56E+12,1.56E+12,7316
3,NJPP1,1.56E+12,1.56E+12,7322
1,AGRP1,1.56E+12,1.56E+12,7657
3,JHSP1,1.56E+12,1.56E+12,7396
1,BLRP1,1.56E+12,1.56E+12,8147
1,SYNP1,1.56E+12,1.56E+12,9406
6,NURP1,1.56E+12,1.56E+12,7683
5,NAGP1,1.56E+12,1.56E+12,7820
4,ADBP1,1.56E+12,1.56E+12,7838
7,VNSP1,1.56E+12,1.56E+12,8017
5,VAPP1,1.56E+12,1.56E+12,8156
5,JAIP1,1.56E+12,1.56E+12,8288
0,SBPP1,1.56E+12,1.56E+12,8342
2,SATP1,1.56E+12,1.56E+12,8571
3,TPNP1,1.56E+12,1.56E+12,8944
3,JHSP1,1.56E+12,1.56E+12,9302
6,ADBP1,1.56E+12,1.56E+12,9620
2,AUBP1,1.56E+12,1.56E+12,9657
5,IXWP1,1.56E+12,1.56E+12,6364
6,NAGP1,1.56E+12,1.56E+12,6493
6,NAGP1,1.56E+12,1.56E+12,6694
5,MZUP1,1.56E+12,1.56E+12,6803
3,JHSP1,1.56E+12,1.56E+12,7004
4,BHLP1,1.56E+12,1.56E+12,7491
2,HBXP1,1.56E+12,1.56E+12,7578
1,KRIP1,1.56E+12,1.56E+12,6888
1,AMBP1,1.56E+12,1.56E+12,7180
4,PGRP1,1.56E+12,1.56E+12,7735
3,CTAP1,1.56E+12,1.56E+12,7776
2,SXVP1,1.56E+12,1.56E+12,7936
6,ADBP1,1.56E+12,1.56E+12,8067
1,SXVP1,1.56E+12,1.56E+12,7621
6,AUBP1,1.56E+12,1.56E+12,8404
1,GDRP1,1.56E+12,1.56E+12,8578
6,NAGP1,1.56E+12,1.56E+12,8741
2,KHRP1,1.56E+12,1.56E+12,8804
4,ADBP1,1.56E+12,1.56E+12,8832
9,STRP1,1.56E+12,1.56E+12,8851
1,BLRP2,1.56E+12,1.56E+12,9203
5,JHSP1,1.56E+12,1.56E+12,8991
1,HYDP1,1.56E+12,1.56E+12,9600
1,AGRP1,1.56E+12,1.56E+12,9784
9,JHSP1,1.56E+12,1.56E+12,9258
6,VTZP1,1.56E+12,1.56E+12,9984
4,CTAP1,1.56E+12,1.56E+12,6462
5,JHSP1,1.56E+12,1.56E+12,6705
5,CTAP1,1.56E+12,1.56E+12,6709
2,SATP1,1.56E+12,1.56E+12,6728
2,VAPP1,1.56E+12,1.56E+12,6794
3,KNUP1,1.56E+12,1.56E+12,6947
2,AUBP1,1.56E+12,1.56E+12,7327
3,BOMP1,1.56E+12,1.56E+12,7354
8,JHSP1,1.56E+12,1.56E+12,7423
2,PNQP1,1.56E+12,1.56E+12,7536
2,AGRP2,1.56E+12,1.56E+12,7538
3,CTAP1,1.56E+12,1.56E+12,7578
2,CTAP1,1.56E+12,1.56E+12,7611
6,DBDP1,1.56E+12,1.56E+12,7789
6,ADBP1,1.56E+12,1.56E+12,7820
8,AUBP1,1.56E+12,1.56E+12,8017
5,STRP1,1.56E+12,1.56E+12,8940
2,DHIP1,1.56E+12,1.56E+12,9072
3,KNUP1,1.56E+12,1.56E+12,9130
1,NAGP1,1.56E+12,1.56E+12,6294
1,HYDP1,1.56E+12,1.56E+12,8931
3,JHSP1,1.56E+12,1.56E+12,9406
1,HYDP2,1.56E+12,1.56E+12,9240
7,NAGP1,1.56E+12,1.56E+12,9620
3,VNSP1,1.56E+12,1.56E+12,9657
2,SYNP1,1.56E+12,1.56E+12,9665
2,SSEP1,1.56E+12,1.56E+12,9680
3,BGMP1,1.56E+12,1.56E+12,9696
1,SXVP1,1.56E+12,1.56E+12,9343
1,BLRP1,1.56E+12,1.56E+12,9842
1,DHIP1,1.56E+12,1.56E+12,6992
4,VGAP1,1.56E+12,1.56E+12,6296
1,RPRP1,1.56E+12,1.56E+12,7059
1,PNQP1,1.56E+12,1.56E+12,7856
1,BOMP1,1.56E+12,1.56E+12,8130
1,GAUP1,1.56E+12,1.56E+12,9004
2,JAIP1,1.56E+12,1.56E+12,7151
8,NAGP1,1.56E+12,1.56E+12,7683
4,SYNP1,1.56E+12,1.56E+12,7690
1,BOMP1,1.56E+12,1.56E+12,9512
1,RPRP1,1.56E+12,1.56E+12,9760
2,BAGP1,1.56E+12,1.56E+12,8147
2,RPRP1,1.56E+12,1.56E+12,8342
7,DBDP1,1.56E+12,1.56E+12,8404
3,VTZP1,1.56E+12,1.56E+12,8571
2,PGRP1,1.56E+12,1.56E+12,8578
2,AGRP1,1.56E+12,1.56E+12,8605
3,CTAP1,1.56E+12,1.56E+12,8608
3,BDQP1,1.56E+12,1.56E+12,8804
2,CTAP1,1.56E+12,1.56E+12,9842
3,NAGP1,1.56E+12,1.56E+12,6283
7,ADBP1,1.56E+12,1.56E+12,6694
6,NJPP1,1.56E+12,1.56E+12,6803
2,CTAP1,1.56E+12,1.56E+12,6888
5,MZUP1,1.56E+12,1.56E+12,7308
4,NURP1,1.56E+12,1.56E+12,7396
3,KNUP1,1.56E+12,1.56E+12,7657
7,TPNP1,1.56E+12,1.56E+12,7820
3,BAGP1,1.56E+12,1.56E+12,7936
9,DBDP1,1.56E+12,1.56E+12,8017
7,NAGP1,1.56E+12,1.56E+12,8067
1,SXVP1,1.56E+12,1.56E+12,6282
2,AGRP2,1.56E+12,1.56E+12,8170
1,GDRP1,1.56E+12,1.56E+12,6396
1,AGRP2,1.56E+12,1.56E+12,7029
1,HYDP2,1.56E+12,1.56E+12,7952
6,NAGP1,1.56E+12,1.56E+12,8832
6,NURP1,1.56E+12,1.56E+12,8991
1,DELP1,1.56E+12,1.56E+12,8392
1,DELP1,1.56E+12,1.56E+12,8568
1,MAAP1,1.56E+12,1.56E+12,8711
10,SYNP1,1.56E+12,1.56E+12,9258
4,NURP1,1.56E+12,1.56E+12,9406
1,SXVP1,1.56E+12,1.56E+12,9145
2,PNQP1,1.56E+12,1.56E+12,9512
2,SYNP1,1.56E+12,1.56E+12,9541
4,JHSP1,1.56E+12,1.56E+12,9665
4,CTAP1,1.56E+12,1.56E+12,9696
1,SYNP1,1.56E+12,1.56E+12,9163
2,KNUP1,1.56E+12,1.56E+12,9784
5,KRIP1,1.56E+12,1.56E+12,6462
1,BHLP1,1.56E+12,1.56E+12,6481
1,SYNP1,1.56E+12,1.56E+12,6488
7,MLGP1,1.56E+12,1.56E+12,6493
6,VNSP1,1.56E+12,1.56E+12,6521
1,NAGP1,1.56E+12,1.56E+12,7418
6,BGMP1,1.56E+12,1.56E+12,6709
2,BKSP1,1.56E+12,1.56E+12,6715
3,VTZP1,1.56E+12,1.56E+12,6728
3,PNQP1,1.56E+12,1.56E+12,6794
4,GKPP1,1.56E+12,1.56E+12,6947
4,NURP1,1.56E+12,1.56E+12,7004
1,BLRP2,1.56E+12,1.56E+12,7434
1,TPNP1,1.56E+12,1.56E+12,8062
1,DELP1,1.56E+12,1.56E+12,8116
1,KNUP1,1.56E+12,1.56E+12,8154
5,IXWP1,1.56E+12,1.56E+12,7316
3,VNSP1,1.56E+12,1.56E+12,7327
5,STRP1,1.56E+12,1.56E+12,7354
2,VTZP1,1.56E+12,1.56E+12,7404
1,CCUP1,1.56E+12,1.56E+12,8311
9,SYNP1,1.56E+12,1.56E+12,7423
4,SBPP1,1.56E+12,1.56E+12,7428
1,MAAP1,1.56E+12,1.56E+12,8357
4,JHSP1,1.56E+12,1.56E+12,7538
1,CCUP1,1.56E+12,1.56E+12,8871
3,BGMP1,1.56E+12,1.56E+12,7611
3,CTAP1,1.56E+12,1.56E+12,7621
5,JHSP1,1.56E+12,1.56E+12,7690
1,SYNP1,1.56E+12,1.56E+12,9116
1,DELP1,1.56E+12,1.56E+12,9383
1,AGRP2,1.56E+12,1.56E+12,9416
4,KRNP1,1.56E+12,1.56E+12,8147
1,AGRP2,1.56E+12,1.56E+12,9964
4,HBXP1,1.56E+12,1.56E+12,8608
7,ADBP1,1.56E+12,1.56E+12,8741
4,VAPP1,1.56E+12,1.56E+12,8804
2,KRNP1,1.56E+12,1.56E+12,8931
7,BGMP1,1.56E+12,1.56E+12,8940
2,BKSP1,1.56E+12,1.56E+12,9004
2,SSEP1,1.56E+12,1.56E+12,9024
4,AGRP2,1.56E+12,1.56E+12,9302
3,HBXP1,1.56E+12,1.56E+12,9842
8,VGAP1,1.56E+12,1.56E+12,9984
2,ADBP1,1.56E+12,1.56E+12,6294
5,VTZP1,1.56E+12,1.56E+12,6296
2,PGRP1,1.56E+12,1.56E+12,6396
8,AWBP1,1.56E+12,1.56E+12,6493
2,DELP1,1.56E+12,1.56E+12,6625
7,AGRP2,1.56E+12,1.56E+12,6705
7,NPWP1,1.56E+12,1.56E+12,6709
2,NPWP1,1.56E+12,1.56E+12,7101
3,BHLP1,1.56E+12,1.56E+12,7151
3,AWBP1,1.56E+12,1.56E+12,7536
5,TPNP1,1.56E+12,1.56E+12,7735
6,BGMP1,1.56E+12,1.56E+12,7776
5,KRNP1,1.56E+12,1.56E+12,7936
3,HYDP2,1.56E+12,1.56E+12,8062
2,DHIP1,1.56E+12,1.56E+12,8130
1,JAIP1,1.56E+12,1.56E+12,6627
3,NAGP1,1.56E+12,1.56E+12,8342
1,AMBP1,1.56E+12,1.56E+12,7053
1,IDRP1,1.56E+12,1.56E+12,7163
1,BKSP1,1.56E+12,1.56E+12,7176
3,TPNP1,1.56E+12,1.56E+12,8578
1,SATP1,1.56E+12,1.56E+12,7309
5,NPWP1,1.56E+12,1.56E+12,8608
2,JAIP1,1.56E+12,1.56E+12,8668
3,GDRP1,1.56E+12,1.56E+12,8711
1,NAGP1,1.56E+12,1.56E+12,7607
4,GTYP1,1.56E+12,1.56E+12,8944
1,AMDP1,1.56E+12,1.56E+12,7708
1,BAMP1,1.56E+12,1.56E+12,8369
4,GKPP1,1.56E+12,1.56E+12,9130
12,DELP1,1.56E+12,1.56E+12,9258
2,MAAP1,1.56E+12,1.56E+12,9343
1,BAMP1,1.56E+12,1.56E+12,8391
1,BOMP1,1.56E+12,1.56E+12,8604
4,JHSP1,1.56E+12,1.56E+12,9541
8,NURP1,1.56E+12,1.56E+12,9620
1,GTYP1,1.56E+12,1.56E+12,9052
4,BGMP1,1.56E+12,1.56E+12,9842
1,HYDP1,1.56E+12,1.56E+12,9762
1,BHLP1,1.56E+12,1.56E+12,6326
2,KHRP1,1.56E+12,1.56E+12,6481
3,JHSP1,1.56E+12,1.56E+12,6488
7,AUBP1,1.56E+12,1.56E+12,6521
3,AGRP2,1.56E+12,1.56E+12,6625
1,DELP1,1.56E+12,1.56E+12,6652
1,DELP1,1.56E+12,1.56E+12,6856
1,BKSP1,1.56E+12,1.56E+12,8557
1,DELP1,1.56E+12,1.56E+12,8835
4,BGMP1,1.56E+12,1.56E+12,6888
1,BKSP1,1.56E+12,1.56E+12,9135
5,NAGP1,1.56E+12,1.56E+12,7004
3,JHSP1,1.56E+12,1.56E+12,7029
1,NPWP1,1.56E+12,1.56E+12,9593
7,KDJP1,1.56E+12,1.56E+12,7171
5,RPRP1,1.56E+12,1.56E+12,7428
2,CTAP1,1.56E+12,1.56E+12,7434
5,STRP1,1.56E+12,1.56E+12,7611
9,ADBP1,1.56E+12,1.56E+12,7683
2,NPWP1,1.56E+12,1.56E+12,7856
9,NJPP1,1.56E+12,1.56E+12,8053
8,NURP1,1.56E+12,1.56E+12,8067
2,AGRP2,1.56E+12,1.56E+12,8116
3,JHSP1,1.56E+12,1.56E+12,8170
2,SYNP1,1.56E+12,1.56E+12,8392
4,BAMP1,1.56E+12,1.56E+12,8571
8,TPNP1,1.56E+12,1.56E+12,8741
2,AGRP1,1.56E+12,1.56E+12,8946
7,NAGP1,1.56E+12,1.56E+12,8991
3,JHSP1,1.56E+12,1.56E+12,9116
2,BAGP1,1.56E+12,1.56E+12,9145
3,JHSP1,1.56E+12,1.56E+12,9163
4,GDRP1,1.56E+12,1.56E+12,9343
5,NAGP1,1.56E+12,1.56E+12,9406
3,SSEP1,1.56E+12,1.56E+12,9512
2,BHCP1,1.56E+12,1.56E+12,9550
2,SATP1,1.56E+12,1.56E+12,9600
5,KNUP1,1.56E+12,1.56E+12,9657
5,NURP1,1.56E+12,1.56E+12,9665
4,VNSP1,1.56E+12,1.56E+12,9784
6,STRP1,1.56E+12,1.56E+12,9842
9,GDRP1,1.56E+12,1.56E+12,9984
3,TPNP1,1.56E+12,1.56E+12,6294
2,BHLP1,1.56E+12,1.56E+12,6627
9,DELP1,1.56E+12,1.56E+12,6705
5,BAMP1,1.56E+12,1.56E+12,6728
5,MZUP1,1.56E+12,1.56E+12,6947
4,HBXP1,1.56E+12,1.56E+12,7101
6,BGMP1,1.56E+12,1.56E+12,7354
1,AMBP1,1.56E+12,1.56E+12,6722
3,HBXP1,1.56E+12,1.56E+12,7434
4,MLGP1,1.56E+12,1.56E+12,7536
6,NURP1,1.56E+12,1.56E+12,7690
6,ADBP1,1.56E+12,1.56E+12,7735
1,BLRP2,1.56E+12,1.56E+12,6736
2,SSEP1,1.56E+12,1.56E+12,7952
1,HYDP1,1.56E+12,1.56E+12,6989
3,SXVP1,1.56E+12,1.56E+12,8357
1,AMBP1,1.56E+12,1.56E+12,7135
1,DELP1,1.56E+12,1.56E+12,7375
4,ADBP1,1.56E+12,1.56E+12,8578
1,BPCP1,1.56E+12,1.56E+12,7817
7,NURP1,1.56E+12,1.56E+12,8832
1,KDJP1,1.56E+12,1.56E+12,8045
8,CTAP1,1.56E+12,1.56E+12,8940
3,NJPP1,1.56E+12,1.56E+12,9004
3,PNQP1,1.56E+12,1.56E+12,9024
3,TPNP1,1.56E+12,1.56E+12,9052
5,MZUP1,1.56E+12,1.56E+12,9130
1,DELP1,1.56E+12,1.56E+12,8479
3,JHSP1,1.56E+12,1.56E+12,9416
1,AMDP1,1.56E+12,1.56E+12,8698
1,NPWP1,1.56E+12,1.56E+12,9560
2,KRNP1,1.56E+12,1.56E+12,9762
5,AUBP1,1.56E+12,1.56E+12,9784
2,IDRP1,1.56E+12,1.56E+12,9836
2,JHSP1,1.56E+12,1.56E+12,9964
3,KHRP1,1.56E+12,1.56E+12,6326
8,DBDP1,1.56E+12,1.56E+12,6521
1,BLRP1,1.56E+12,1.56E+12,6766
9,PNQP1,1.56E+12,1.56E+12,6709
1,PNQP1,1.56E+12,1.56E+12,7356
5,BGMP1,1.56E+12,1.56E+12,6794
2,AGRP2,1.56E+12,1.56E+12,6856
6,STRP1,1.56E+12,1.56E+12,6888
6,ADBP1,1.56E+12,1.56E+12,7004
5,CTAP1,1.56E+12,1.56E+12,7101
4,KHRP1,1.56E+12,1.56E+12,7151
6,NJPP1,1.56E+12,1.56E+12,7308
2,HYDP2,1.56E+12,1.56E+12,7309
7,BHCP1,1.56E+12,1.56E+12,7316
5,MZUP1,1.56E+12,1.56E+12,7322
1,HYDP1,1.56E+12,1.56E+12,7846
4,SATP1,1.56E+12,1.56E+12,7404
5,NURP1,1.56E+12,1.56E+12,7538
10,TPNP1,1.56E+12,1.56E+12,7683
9,STRP1,1.56E+12,1.56E+12,7776
8,GTYP1,1.56E+12,1.56E+12,7820
1,VAPP1,1.56E+12,1.56E+12,7896
4,HBXP1,1.56E+12,1.56E+12,7856
4,ADBP1,1.56E+12,1.56E+12,8062
4,JHSP1,1.56E+12,1.56E+12,8116
3,VNSP1,1.56E+12,1.56E+12,8154
4,NURP1,1.56E+12,1.56E+12,8170
3,VTZP1,1.56E+12,1.56E+12,8369
3,VTZP1,1.56E+12,1.56E+12,8391
2,NJPP1,1.56E+12,1.56E+12,8557
2,AGRP1,1.56E+12,1.56E+12,8568
2,GDRP1,1.56E+12,1.56E+12,8592
2,DHIP1,1.56E+12,1.56E+12,8604
3,CORP1,1.56E+12,1.56E+12,8668
4,PGRP1,1.56E+12,1.56E+12,8711
3,KDJP1,1.56E+12,1.56E+12,8871
4,KRNP1,1.56E+12,1.56E+12,9145
6,ADBP1,1.56E+12,1.56E+12,9406
5,NURP1,1.56E+12,1.56E+12,9541
9,JHSP1,1.56E+12,1.56E+12,9620
2,TPNP1,1.56E+12,1.56E+12,9986
2,AGRP1,1.56E+12,1.56E+12,6366
4,NURP1,1.56E+12,1.56E+12,6488
5,JHSP1,1.56E+12,1.56E+12,6625
3,KHRP1,1.56E+12,1.56E+12,6627
2,DELP1,1.56E+12,1.56E+12,6722
3,SXVP1,1.56E+12,1.56E+12,6736
4,NURP1,1.56E+12,1.56E+12,7029
7,CTAP1,1.56E+12,1.56E+12,7354
2,AGRP1,1.56E+12,1.56E+12,7375
7,NAGP1,1.56E+12,1.56E+12,7428
4,NPWP1,1.56E+12,1.56E+12,7434
4,BGMP1,1.56E+12,1.56E+12,7621
2,DELP1,1.56E+12,1.56E+12,7691
7,NAGP1,1.56E+12,1.56E+12,7735
5,CTAP1,1.56E+12,1.56E+12,7856
1,HYDP1,1.56E+12,1.56E+12,6552
7,TPNP1,1.56E+12,1.56E+12,7936
1,STVP1,1.56E+12,1.56E+12,8001
5,NAGP1,1.56E+12,1.56E+12,8062
1,BLRP2,1.56E+12,1.56E+12,8188
2,BHLP1,1.56E+12,1.56E+12,8360
4,JHSP1,1.56E+12,1.56E+12,8392
5,NAGP1,1.56E+12,1.56E+12,8578
4,KHRP1,1.56E+12,1.56E+12,8668
9,KRNP1,1.56E+12,1.56E+12,8741
1,AUBP1,1.56E+12,1.56E+12,8813
1,CTAP1,1.56E+12,1.56E+12,8817
10,MULP1,1.56E+12,1.56E+12,8940
8,ADBP1,1.56E+12,1.56E+12,8991
4,ADBP1,1.56E+12,1.56E+12,9052
4,NURP1,1.56E+12,1.56E+12,9116
4,NURP1,1.56E+12,1.56E+12,9163
1,TPNP1,1.56E+12,1.56E+12,9208
5,VGAP1,1.56E+12,1.56E+12,9343
3,PNQP1,1.56E+12,1.56E+12,9593
1,AMDP1,1.56E+12,1.56E+12,9613
7,AGRP1,1.56E+12,1.56E+12,9657
3,BAGP1,1.56E+12,1.56E+12,9762
