lambda_delay,horizon,tstep,method,varsettingiterations,variablefixingthreshold,strongreducedcosts,columnmemory,deletioniterationpercent,deletionthreshold,deletiontype,nrow,totaltime,mptime,pptime,iptime,vsopt,iogap
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,all,8,2378,138.2469438,9.541537464,2230.373235,1.60%,3.49%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,space,1,6174,209.0156784,14.82604551,5950.28488,1.39%,3.15%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,1,0,all,6,6112,117.9822632,8.700990279,5984.880161,0.48%,2.28%
100,120,6,e_mag,0,"(0.5, 0.6)",1,1000,1,0,space,2,43038,144.2242092,8.898146391,42884.77955,0.73%,2.81%
100,120,6,e_mag,0,"(1,1)",0,1000,1,-1,all,9,71120,480.1854857,12.12394349,70627.36339,0.30%,2.15%
100,120,6,e_mag,0,"(1,1)",1,1000,1,-1,all,8,33625,179.5594411,8.72315234,33436.77021,0.34%,2.20%
100,120,6,e_mag,1,"(1,1)",0,100,1,-1,all,7,55399,402.3091247,12.87295829,54983.32415,0.30%,2.21%
100,120,6,e_mag,1,"(1,1)",0,50,1,-1,all,8,63238,1607.072865,26.97233796,61603.597,0.29%,2.15%
100,120,6,e_mag,1,"(1,1)",0,30,1,-1,all,6,24725,1414.790457,24.27285139,23285.69514,0.24%,2.06%
100,120,6,e_mag,1,"(1,1)",0,10,1,-1,all,7,65023,1156.797331,31.03483745,63835.34199,0.28%,2.18%
100,120,6,e_mag,1,"(1,1)",1,100,1,-1,all,8,32575,263.0086765,10.85908783,32301.10782,0.34%,2.20%
100,120,6,e_mag,1,"(1,1)",1,50,1,-1,all,8,32264,927.2471796,19.66077426,31317.22574,0.35%,2.21%
100,120,6,e_mag,1,"(1,1)",1,30,1,-1,all,8,17867,803.0708418,17.75895855,17046.00169,0.35%,2.21%
100,120,6,e_mag,1,"(1,1)",1,10,1,-1,all,8,17875,550.1940305,15.67285219,17309.05318,0.34%,2.20%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0,all,8,1492,189.3572438,10.0947881,1292.997617,2.12%,4.01%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0,space,1,2963,310.8832468,17.29763937,2635.231892,2.32%,4.09%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0.1,all,8,1674,191.9708776,10.23627561,1472.174274,2.21%,4.11%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.2,0.1,space,1,3418,310.4985934,18.09490919,3089.695648,2.35%,4.12%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0,all,7,4081,184.9402513,10.35525966,3885.511253,1.10%,2.96%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0,space,2,14999,284.3105731,13.95895243,14700.51402,1.22%,3.07%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0.1,all,8,2948,197.1995431,10.25984669,2740.158024,1.63%,3.51%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,0.5,0.1,space,1,3894,309.028892,18.0674181,3566.649068,1.70%,3.46%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,1,0,all,5,6733,161.6223383,9.031305503,6562.107807,0.46%,2.31%
100,120,6,e_mag,1,"(1.0, 1.0)",0,1000,1,0,space,3,28489,222.8481994,9.551106692,28256.60847,0.61%,2.49%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0,all,8,1781,143.293058,9.205335349,1628.108887,2.04%,3.94%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0,space,1,5395,230.3896738,13.46294308,5150.848014,2.00%,3.77%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0.1,all,8,1549,143.8624223,9.288719415,1395.354691,2.19%,4.08%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.2,0.1,space,1,4067,232.095049,13.42843103,3821.782046,2.13%,3.90%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0,all,8,4007,138.8115462,9.233728707,3859.314209,1.03%,2.90%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0,space,1,8569,230.4296632,13.43072557,8325.246812,0.74%,2.49%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0.1,all,8,2140,140.2301382,9.230000436,1990.156957,1.60%,3.49%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,0.5,0.1,space,1,3946,232.1046538,13.4904213,3700.088804,1.39%,3.15%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,1,0,all,6,5182,119.1774358,8.395350853,5054.160276,0.47%,2.27%
100,120,6,e_mag,1,"(1.0, 1.0)",1,1000,1,0,space,1,34890,131.0705762,8.096963167,34750.7164,0.51%,2.72%
500,120,6,a_ip,0,"(1,1)",0,1000,1,-1,all,7,134813,0,0,134813.2699,0.00%,5.86%
500,120,6,b_basisip,0,"(1,1)",0,1000,1,-1,all,8,742,51.77696413,0,690.1357471,5.61%,11.63%
500,120,6,d_sag,0,"(1,1)",0,1000,1,-1,all,6,43155,1310.040623,6.441970269,41838.89748,0.44%,6.07%
500,120,6,e_mag,0,"(1,1)",0,1000,1,-1,all,8,57891,129.8441994,10.29639813,57750.38845,0.87%,6.72%
500,120,6,e_mag,0,"(1,1)",1,1000,1,-1,all,8,51746,82.68578196,9.012647032,51654.01045,1.03%,6.90%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0,all,8,1162,133.7839976,13.10280952,1015.56632,5.46%,11.42%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0,space,10,1300,131.6376975,12.41757023,1156.431805,4.96%,11.01%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0.1,all,8,1048,140.330487,13.03565723,894.9591759,5.50%,11.46%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.2,0.1,space,10,1235,129.2577976,12.60780528,1093.449933,5.04%,11.09%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0,all,8,2835,140.9682371,12.92526281,2680.873661,4.16%,10.03%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0,space,10,2441,134.9957575,12.35987031,2293.983858,3.56%,9.54%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0.1,all,7,2019,139.9642306,13.58026702,1865.510786,5.19%,11.17%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,0.5,0.1,space,10,1260,131.4450388,12.42214291,1115.708229,4.21%,10.19%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,1,0,all,5,6223,127.033966,13.28164849,6082.400921,1.92%,8.08%
500,120,6,e_mag,0,"(1.0, 1.0)",0,1000,1,0,space,11,12342,119.7713197,10.94089608,12211.50897,1.71%,7.27%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0,all,8,1275,95.86583915,11.54482108,1167.69311,5.27%,11.22%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0,space,2,1645,146.02074,19.39427782,1479.748961,5.79%,12.24%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0.1,all,8,1155,96.06177864,11.8081094,1047.536119,5.37%,11.33%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.2,0.1,space,2,1704,145.7221758,19.69525266,1538.205825,5.82%,12.27%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0,all,8,3325,97.95169819,11.62015325,3215.02096,3.94%,9.83%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0,space,2,4131,146.5361183,19.36249709,3964.689217,4.97%,11.36%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0.1,all,8,1460,98.18073518,11.67652652,1350.324326,4.69%,10.59%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,0.5,0.1,space,2,2170,153.6182127,18.71069121,1997.932029,5.30%,11.71%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,1,0,all,6,6812,93.38534732,11.09850498,6707.648112,2.02%,7.86%
500,120,6,e_mag,0,"(1.0, 1.0)",1,1000,1,0,space,2,12225,116.7881963,12.60688639,12095.72522,2.94%,9.35%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,all,8,3508,157.6639669,16.02227053,3334.458142,4.14%,10.31%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,space,10,3971,148.6320907,15.0711061,3807.498603,3.95%,10.15%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,all,8,1898,159.4136694,16.62674281,1721.611763,5.08%,11.18%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,space,10,2473,154.2385192,16.38268516,2302.126309,4.78%,10.94%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,all,7,2117,153.4096375,16.03171032,1948.00716,3.30%,9.12%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,space,11,7848,155.6869097,15.90737057,7676.207937,2.89%,8.93%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,all,8,2425,158.2171534,15.70453614,2251.009989,3.99%,9.96%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,space,10,1794,152.0665844,15.01701644,1626.450888,3.65%,9.70%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,all,5,8376,137.3116766,15.99363146,8222.725269,1.71%,7.85%
500,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,space,11,19504,138.372575,13.52697227,19351.61527,1.43%,7.01%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,all,8,2422,115.4152343,14.95052001,2291.465502,5.07%,11.09%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,space,2,3328,175.3088825,24.2030282,3128.964938,5.93%,12.40%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,all,8,609,113.1223029,15.0861226,480.8113096,5.77%,11.84%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,space,2,919,174.8914675,24.58733439,719.4973669,7.00%,13.53%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,all,8,3697,115.4439748,15.16279641,3566.01048,3.45%,9.32%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,space,2,5160,166.0186451,25.48439479,4968.170615,3.82%,10.13%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,all,8,1812,116.4012268,14.63284225,1681.070041,4.11%,10.08%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,space,2,2716,175.9133198,24.07392598,2515.603672,4.51%,10.88%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,1,0,all,5,5921,96.12803302,14.56472263,5810.395755,1.98%,7.81%
500,120,6,e_mag,1,"(0.5, 0.6)",1,1000,1,0,space,3,21050,127.0688652,16.07674201,20906.95214,1.44%,6.44%
500,120,6,e_mag,1,"(1,1)",0,100,1,-1,all,8,65041,1060.198947,23.45383182,63957.5945,1.03%,6.87%
500,120,6,e_mag,1,"(1,1)",0,50,1,-1,all,7,74604,1459.507873,26.74976645,73117.5939,1.05%,7.16%
500,120,6,e_mag,1,"(1,1)",0,30,1,-1,all,4,47706,1297.460377,26.51851088,46382.48888,1.02%,7.25%
500,120,6,e_mag,1,"(1,1)",0,10,1,-1,all,8,85268,1088.37879,24.13452924,84155.97302,0.89%,6.71%
500,120,6,e_mag,1,"(1,1)",1,100,1,-1,all,8,58506,190.1803195,11.72642586,58303.81332,1.07%,6.94%
500,120,6,e_mag,1,"(1,1)",1,50,1,-1,all,7,36264,834.2973353,19.05417231,35410.35942,1.57%,7.72%
500,120,6,e_mag,1,"(1,1)",1,30,1,-1,all,7,44158,714.6203765,17.49116867,43425.43572,1.48%,7.61%
500,120,6,e_mag,1,"(1,1)",1,10,1,-1,all,6,37240,507.5422275,17.02440548,36715.86572,1.26%,6.59%
1000,120,6,a_ip,0,"(1,1)",0,1000,1,-1,all,6,144002,0,0,144001.9675,0.00%,9.21%
1000,120,6,b_basisip,0,"(1,1)",0,1000,1,-1,all,8,596,90.56965792,0,505.8058304,8.01%,19.89%
1000,120,6,d_sag,0,"(1,1)",0,1000,1,-1,all,6,64449,856.5464502,6.054753661,63586.3309,0.63%,10.48%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,all,8,822,84.92969975,12.24644127,725.1002939,7.67%,19.51%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0,space,10,727,81.34010823,11.64552073,634.0713808,7.03%,19.46%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,all,8,739,77.5028879,11.08248562,650.4382886,7.68%,19.52%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.2,0.1,space,9,731,73.08751382,10.77010266,647.6006444,7.05%,18.32%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,all,8,1313,88.01313639,12.38181165,1212.56734,6.24%,17.63%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0,space,10,1249,82.3195189,11.62966554,1155.050392,5.68%,17.51%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,all,8,873,88.40866477,12.30017516,772.0588336,7.00%,18.61%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,0.5,0.1,space,10,962,81.35675533,11.66940513,869.3994716,6.45%,18.52%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,1,0,all,6,5279,79.44196824,11.81642318,5187.865842,3.66%,14.48%
1000,120,6,e_mag,0,"(0.5, 0.6)",0,1000,1,0,space,11,16214,83.12642817,10.96096123,16119.66701,2.68%,13.67%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,all,8,608,61.70482951,9.865837276,536.189551,7.41%,19.17%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0,space,1,1334,89.37767744,15.87742567,1229.167332,5.98%,12.55%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,all,8,722,60.78853553,10.2800636,650.5762456,7.62%,19.34%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.2,0.1,space,1,1364,78.30086326,17.00426817,1269.109338,6.25%,12.83%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0,all,8,1343,61.5196026,10.26023769,1271.294618,5.49%,16.69%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0,space,1,2104,89.18349076,15.8234601,1998.932638,5.86%,12.42%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,all,8,881,60.86375523,10.11825472,810.2689338,6.27%,17.75%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,0.5,0.1,space,1,1108,88.20103884,15.80886507,1003.663408,5.99%,12.55%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,1,0,all,7,6549,54.14397226,9.10432114,6485.369812,3.01%,13.90%
1000,120,6,e_mag,0,"(0.5, 0.6)",1,1000,1,0,space,1,9870,68.07550597,10.9880662,9790.610225,2.25%,10.74%
1000,120,6,e_mag,0,"(1,1)",0,1000,1,-1,all,8,69649,299.6298108,13.50713956,69335.77455,1.67%,11.14%
1000,120,6,e_mag,0,"(1,1)",1,1000,1,-1,all,8,53112,89.79975814,9.427393765,53012.42554,1.63%,11.87%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,all,8,831,91.39945274,14.03093761,725.7684412,7.20%,18.81%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0,space,9,723,87.16771333,13.46480542,622.2407257,6.89%,17.89%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,all,8,601,86.11751982,13.93709448,500.7743236,7.78%,19.39%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.2,0.1,space,9,635,84.24547554,13.21896789,537.0820982,7.41%,18.41%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,all,8,1541,92.34825289,13.71373025,1434.621914,5.53%,17.11%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0,space,9,1764,86.36184865,13.41696588,1663.937773,5.20%,16.16%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,all,8,1106,88.2039994,13.79007473,1004.109732,6.40%,18.01%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,0.5,0.1,space,9,1112,85.23734731,13.48187815,1013.129234,5.78%,16.85%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,all,4,3013,72.74879187,13.84977561,2925.953416,3.16%,13.83%
1000,120,6,e_mag,1,"(0.5, 0.6)",0,1000,1,0,space,12,16898,85.41551548,11.62886193,16800.53725,2.84%,13.23%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,all,8,889,70.97186565,12.40765589,805.7388861,6.30%,18.12%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0,space,1,764,103.886991,20.4303217,639.6043338,7.92%,14.60%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,all,8,523,72.07755354,12.66018626,438.5844486,7.46%,19.19%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.2,0.1,space,1,658,91.47799062,22.0954237,544.06325,8.15%,14.85%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,all,8,1560,72.70240957,12.66879359,1475.12589,4.87%,16.22%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0,space,1,1410,104.9064116,20.46105862,1284.981184,4.60%,11.08%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,all,8,1421,72.29668903,12.73296621,1335.793644,5.79%,17.28%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,0.5,0.1,space,1,2425,92.45533944,21.84520006,2311.111866,5.53%,12.07%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,1,0,all,5,5357,56.81782875,11.46397929,5288.280257,3.17%,13.92%
1000,120,6,e_mag,1,"(0.5, 0.6)",1,1000,1,0,space,2,9900,75.8682357,10.63345277,9813.947673,2.64%,11.95%
1000,120,6,e_mag,1,"(1,1)",0,100,1,-1,all,8,51628,499.9507448,16.18075967,51111.91953,1.54%,11.73%
1000,120,6,e_mag,1,"(1,1)",0,50,1,-1,all,8,91264,1297.679344,26.21166673,89939.72964,1.50%,11.72%
1000,120,6,e_mag,1,"(1,1)",0,30,1,-1,all,7,64632,1036.779655,22.04515226,63573.66101,1.57%,11.57%
1000,120,6,e_mag,1,"(1,1)",0,10,1,-1,all,7,62727,945.9390833,23.4530908,61758.08212,1.15%,10.64%
1000,120,6,e_mag,1,"(1,1)",1,100,1,-1,all,8,52403,210.6251768,12.71109787,52179.23893,1.69%,11.91%
1000,120,6,e_mag,1,"(1,1)",1,50,1,-1,all,8,25552,617.9813401,18.8950102,24915.02675,1.91%,12.15%
1000,120,6,e_mag,1,"(1,1)",1,30,1,-1,all,8,37648,636.4686221,16.82508978,36994.71737,2.04%,12.25%
1000,120,6,e_mag,1,"(1,1)",1,10,1,-1,all,8,34849,461.9211608,15.91858649,34371.47265,2.03%,12.37%
